Position,Const,Created,Modified,Description,Name,Known For,Birth Date
52,nm0000932,2016-10-01,2016-10-01,,Halle Berry,Catwoman,1966-08-14
53,nm0001856,2016-10-01,2016-10-01,,Oprah Winfrey,The Oprah Winfrey Show,1954-01-29
54,nm0001451,2016-10-01,2016-10-01,,Queen Latifah,Hairspray,1970-03-18
55,nm1073992,2016-10-01,2016-10-01,,Eve,Barbershop,1978-11-10
56,nm0222643,2016-10-01,2016-10-01,,Loretta Devine,Crash,1949-08-21
57,nm0567408,2016-10-01,2016-10-01,,Hattie McDaniel,Gone with the Wind,1893-06-10
58,nm0818055,2016-10-01,2016-10-01,,Octavia Spencer,Hidden Figures,1970-05-25
59,nm0621788,2016-10-01,2016-10-01,,Niecy Nash,Reno 911!,1970-02-23
60,nm0711118,2016-10-01,2016-10-01,,Phylicia Rashad,The Cosby Show,1948-06-19
61,nm0700443,2016-10-01,2016-10-01,,Keshia Knight Pulliam,The Cosby Show,1979-04-09
62,nm0000155,2016-10-01,2016-10-01,,Whoopi Goldberg,Ghost,1955-11-13
63,nm0005569,2016-10-01,2016-10-01,,Alfre Woodard,Star Trek: First Contact,1952-11-08
64,nm0594898,2016-10-01,2016-10-01,,Mo'Nique,Precious,1967-12-11
65,nm1090271,2016-10-01,2016-10-01,,Solange,Bring It On: All or Nothing,1986-06-24
66,nm0810619,2016-10-01,2016-10-01,,Jurnee Smollett,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,1986-10-01
67,nm1754366,2016-10-01,2016-10-01,,Tika Sumpter,Southside with You,1980-06-20
68,nm0001927,2016-10-01,2016-10-01,,Josephine Baker,Zouzou,1906-06-03
69,nm0571188,2016-10-01,2016-10-01,,Lonette McKee,Brewster's Millions,1954-07-22
70,nm2718512,2016-10-01,2016-10-01,,Nicole Beharie,Shame,1985-01-03
71,nm0810103,2016-10-01,2016-10-01,,Tasha Smith,The Whole Ten Yards,1971-02-28
72,nm0931227,2016-10-01,2016-10-01,,Malinda Williams,High School High,1970-09-24
73,nm0891254,2016-10-01,2016-10-01,,Terri J. Vaughn,The Steve Harvey Show,1969-10-16
74,nm0204322,2016-10-01,2016-10-01,,Cassi Davis,A Madea Family Funeral,1964-07-31
75,nm2057826,2016-10-01,2016-10-01,,Sierra Aylina McClain,9-1-1: Lone Star,1994-03-16
76,nm1942207,2016-10-01,2016-10-01,,China Anne McClain,Hubie Halloween,1998-08-25
77,nm2055160,2016-10-01,2016-10-01,,Lauryn Alisa McClain,Haunt,1997-01-09
78,nm0421188,2016-10-01,2016-10-01,,Juanita Jennings,What Women Want,
79,nm0398016,2016-10-01,2016-10-01,,Maria Howell,Hidden Figures,
80,nm0083915,2016-10-01,2016-10-01,,Donna Biscoe,The Fundamentals of Caring,1955-09-30
81,nm1891983,2016-10-01,2016-10-01,,Sasha the Diva,Baby Mama's Club,
82,nm2532722,2016-10-01,2016-10-01,,Sharan C. Mansfield,Killers,
83,nm2351246,2016-10-01,2016-10-01,,Demetria McKinney,House of Payne,1979-08-27
84,nm0697824,2016-10-01,2016-10-01,,Joan Pringle,Original Sin,1945-06-02
85,nm2444133,2016-10-01,2016-10-01,,Faye Yvette McQueen,Watchmen,1961-12-19
86,nm7251520,2016-10-01,2016-10-01,,Jessica J. Immanuel,Grand Theft Auto V,
87,nm1399446,2016-10-01,2016-10-01,,Towanda Underdue,Piyalir Password,
88,nm0380790,2016-10-01,2016-10-01,,Cindy Herron,Batman Forever,1961-09-26
89,nm0724665,2016-10-01,2016-10-01,,LaTanya Richardson Jackson,U.S. Marshals,1949-10-21
90,nm0695497,2016-10-01,2016-10-01,,Kyla Pratt,One on One,1986-09-16
91,nm0005247,2016-10-01,2016-10-01,,Debbi Morgan,Eve's Bayou,1956-09-20
92,nm0005046,2016-10-01,2016-10-01,,Shar Jackson,Good Burger,1976-08-31
93,nm0727640,2016-10-01,2016-10-01,,Erika Ringor,Love & Basketball,1974-12-23
94,nm0110597,2016-10-01,2016-10-01,,Kara Bustos,Love & Basketball,1974-03-29
95,nm0004793,2016-10-01,2016-10-01,,Monica Calhoun,Out of Rosenheim,1971-07-29
96,nm0712406,2016-10-01,2016-10-01,,Gina Ravera,Showgirls,1966-05-20
97,nm0355659,2016-10-01,2016-10-01,,Irma P. Hall,The Ladykillers,1935-06-03
98,nm0942616,2016-10-01,2016-10-01,,Marcia Wright,While You Were Sleeping,
99,nm1073061,2016-10-01,2016-10-01,,Isley Nicole Melton,Three 6 Mafia: Choices - The Movie,1972-05-29
100,nm0662519,2016-10-01,2016-10-01,,Nicole Ari Parker,Boogie Nights,1970-10-07
101,nm1252685,2016-10-01,2016-10-01,,Toks Olagundoye,Castle,1975-09-16
102,nm0019832,2016-10-01,2016-10-01,,Opal Alladin,United 93,
103,nm2148025,2016-10-01,2016-10-01,,De'Adre Aziza,She's Gotta Have It,1977-06-14
104,nm0550741,2016-10-01,2016-10-01,,Amelia Marshall,Passions,1958-04-02
105,nm0110686,2016-10-01,2016-10-01,,Kim Brockington,Joker,
106,nm0465670,2016-10-01,2016-10-01,,Yvonna Kopacz Wright,Perfect Stranger,
107,nm0686911,2016-10-01,2016-10-01,,Victoria Gabrielle Platt,Star-Crossed,1972-11-21
108,nm1349978,2016-10-01,2016-10-01,,Karla Mosley,Burn After Reading,1981-08-27
109,nm1787532,2016-10-01,2016-10-01,,Tijuana Ricks,Luke Cage,1978-09-19
110,nm0372191,2016-10-01,2016-10-01,,Shari Headley,Coming 2 America,1964-07-15
111,nm1477060,2016-10-01,2016-10-01,,Joan Baker,Dear John,1960-10-14
112,nm1395855,2016-10-01,2016-10-01,,Simone Missick,All Rise,
113,nm2677217,2016-10-01,2016-10-01,,Dinora Walcott,NCIS: Naval Criminal Investigative Service,
114,nm0018554,2016-10-01,2016-10-01,,Khandi Alexander,CSI: Miami,1957-09-04
115,nm1896248,2016-10-01,2016-10-01,,Jasika Nicole,Fringe,
116,nm0733185,2016-10-01,2016-10-01,,Wendy Raquel Robinson,The Game,1967-07-25
117,nm0205651,2016-10-01,2016-10-01,,Wendy Davis,Love Is_,
118,nm0509824,2016-10-01,2016-10-01,,Tina Lifford,Babe,
119,nm0784255,2016-10-01,2016-10-01,,Saycon Sengbloh,Respect,1977-10-23
120,nm0004958,2016-10-01,2016-10-01,,Marla Gibbs,The Jeffersons,1931-06-14
121,nm2780578,2016-10-01,2016-10-01,,Yara Shahidi,Salt,2000-02-10
122,nm1677542,2016-10-01,2016-10-01,,Kandiss Edmundson,Inside Man,
123,nm0456651,2016-10-01,2016-10-01,,Kelli Kirkland,Little Fockers,
124,nm3817912,2016-10-01,2016-10-01,,Alex Marshall-Brown,Brix and the Bitch,
125,nm0005501,2016-10-01,2016-10-01,,Lorraine Toussaint,Hudson Hawk,1960-04-04
126,nm0004986,2016-10-01,2016-10-01,,LisaGay Hamilton,True Crime,1964-03-25
127,nm1087565,2016-10-01,2016-10-01,,April Parker Jones,Jericho,
128,nm1490300,2016-10-01,2016-10-01,,Aisha Hinds,The Next Three Days,1975-11-13
129,nm2056961,2016-10-01,2016-10-01,,Jerrika Hinton,The Roommate,1981-09-28
130,nm0005264,2016-10-01,2016-10-01,,Elise Neal,Hustle & Flow,1966-03-14
131,nm2285285,2016-10-01,2016-10-01,,Raquel Rosser,Obsessed with the Babysitter,
132,nm0134114,2016-10-01,2016-10-01,,Lisa Canning,Scream,1966-11-07
133,nm1638305,2016-10-01,2016-10-01,,Kendra Danielle Smith,Eleventh Hour,
134,nm2976368,2016-10-01,2016-10-01,,Ajarae Coleman,NCIS: New Orleans,
135,nm0004982,2016-10-01,2016-10-01,,Jasmine Guy,Harlem Nights,1962-03-10
136,nm0589900,2016-10-01,2016-10-01,,Angela Elayne Gibbs,American Crime Story,
137,nm3660099,2016-10-01,2016-10-01,,Tiffany Jeneen,Ballers,
138,nm1176408,2016-10-01,2016-10-01,,Saudia Rashed,Dolemite Is My Name,
139,nm0910246,2016-10-01,2016-10-01,,Ingrid Walters,Amistad,1971-11-25
140,nm1208534,2016-10-01,2016-10-01,,Malika Williams,Ingrid Goes West,
141,nm0430186,2016-10-01,2016-10-01,,Shirley Jordan,NCIS: Naval Criminal Investigative Service,
142,nm5966712,2016-10-01,2016-10-01,,Marissa Chanel Hampton,Watchmen,
143,nm0942193,2016-10-01,2016-10-01,,Aloma Wright,Scrubs,1950-03-10
144,nm0310850,2016-10-01,2016-10-01,,Nona Gaye,Ali,1974-09-04
145,nm2299721,2016-10-01,2016-10-01,,Mary T. Sala,Criminal Minds,
146,nm0818045,2016-10-01,2016-10-01,,Nefetari Spencer,South Side,
147,nm0808991,2016-10-01,2016-10-01,,Kimleigh Smith,The Discovery,
148,nm2402304,2016-10-01,2016-10-01,,Sharon Battle,Pretty Little Liars,
149,nm2070557,2016-10-01,2016-10-01,,Liz Benoit,Lucifer,
150,nm5165632,2016-10-01,2016-10-01,,Paulina Lule,Agents of S.H.I.E.L.D.,
151,nm1147128,2016-10-01,2016-10-01,,Jocelyn Ayanna,Whiplash,
152,nm4710645,2016-10-01,2016-10-01,,Stacie Greenwell,Perry Mason,
153,nm2754039,2016-10-01,2016-10-01,,Monica Parks,Light Girls,
154,nm2995171,2016-10-01,2016-10-01,,Angelique Cinelu,Rise of the Zombies,
155,nm1189073,2016-10-01,2016-10-01,,Bianca DeGroat,Cyberchase,1976-10-31
156,nm3869515,2016-10-01,2016-10-01,,Tami Jordan,Scandal,
157,nm1420224,2016-10-01,2016-10-01,,Treisa Gary,Unbelievable,1969-07-27
158,nm2803528,2016-10-01,2016-10-01,,Lorrie Odom,Isn't It Romantic,
159,nm6604701,2016-10-01,2016-10-01,,Silawn Lewis,Forked Road,
160,nm7172606,2016-10-01,2016-10-01,,Margaret Newborn,American Gangster: Trap Queens,
161,nm6822586,2016-10-01,2016-10-01,,Daniele Lawson,King Richard,
162,nm0766992,2016-10-01,2016-10-01,,Yvette Saunders,Grey's Anatomy,1975-04-20
163,nm5508353,2016-10-01,2016-10-01,,Megan Thomas,Colored People,
164,nm0358807,2016-10-01,2016-10-01,,Cat Hammons,The Pandora Directive,
165,nm5623550,2016-10-01,2016-10-01,,Tina Redmond,Black November,
166,nm0005552,2016-10-01,2016-10-01,,Kym Whitley,Rango,1962-07-21
167,nm0933281,2016-10-01,2016-10-01,,Debra Wilson,Over the Hedge,1962-04-26
168,nm1538675,2016-10-01,2016-10-01,,Emayatzy Corinealdi,Middle of Nowhere,1980-01-14
169,nm0370422,2016-10-01,2016-10-01,,Kim Hawthorne,Greenleaf,
170,nm0226851,2016-10-01,2016-10-01,,Victoria Dillard,Coming to America,1969-09-20
171,nm0102947,2016-10-01,2016-10-01,,Cassandra Braden,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",1960-04-11
172,nm0780544,2016-10-01,2016-10-01,,Amanda Seales,My Brother and Me,1981-07-01
173,nm0041895,2016-10-01,2016-10-01,,Nadège August,Ruthless,
174,nm1252806,2016-10-01,2016-10-01,,Brittany Perry-Russell,We Can Be Heroes,1982-03-11
175,nm0187764,2016-10-01,2016-10-01,,Brenda Crichlow,Fantastic Four,1967-07-24
176,nm2079710,2016-10-01,2016-10-01,,Salina Soto,The Vampire Diaries,
177,nm0005372,2016-10-01,2016-10-01,,Holly Robinson Peete,21 Jump Street,1964-09-18
178,nm0001044,2016-10-01,2016-10-01,,Rae Dawn Chong,Commando,1961-02-28
179,nm5467763,2016-10-01,2016-10-01,,Nicole Anthony,The Art of Racing in the Rain,
180,nm1583978,2016-10-01,2016-10-01,,Olunike Adeliyi,She Never Died,1977-01-05
181,nm0319826,2016-10-01,2016-10-01,,Erica Gimpel,God Friended Me,1964-06-25
182,nm1113471,2016-10-01,2016-10-01,,Rukiya Bernard,The Cabin in the Woods,1983-01-20
183,nm0521723,2016-10-01,2016-10-01,,Catherine Lough Haggquist,Motherland: Fort Salem,
184,nm5150410,2016-10-01,2016-10-01,,Natasha Burnett,Love at First Bark,
185,nm1925584,2016-10-01,2016-10-01,,Crystal Balint,The Bletchley Circle: San Francisco,1981-05-29
186,nm0005349,2016-10-01,2016-10-01,,Gloria Reuben,Lincoln,1964-06-09
187,nm1662550,2016-10-01,2016-10-01,,Malinda Money,Code of Honor,1987-07-30
188,nm6737315,2016-10-01,2016-10-01,,Ash Santos,Good Joe Bell,1993-06-09
189,nm2484864,2016-10-01,2016-10-01,,Lisa Berry,Supernatural,
190,nm7784309,2016-10-01,2016-10-01,,Sydney Lindsay Johnson,A Christmas Melody,
191,nm2179180,2016-10-01,2016-10-01,,Rutina Wesley,True Blood,1978-12-21
192,nm2816158,2016-10-01,2016-10-01,,Ninja N. Devoe,Green Book,
193,nm3672524,2016-10-01,2016-10-01,,Kj Smith,Lethal Weapon,
194,nm1457701,2016-10-01,2016-10-01,,Adella Gautier,In the Electric Mist,1948-01-15
195,nm3703850,2016-10-01,2016-10-01,,Eleanor T. Threatt,"Three Billboards Outside Ebbing, Missouri",
196,nm6746248,2016-10-01,2016-10-01,,Tadasay Young,Queen of the South,
197,nm8290861,2016-10-01,2016-10-01,,Nyla Campbell,Queen Sugar,
198,nm7613653,2016-10-01,2016-10-01,,Lisha Wheeler,The Lovebirds,
199,nm3094310,2016-10-01,2016-10-01,,Devon Jordan,Detachment,
200,nm0861644,2016-10-01,2016-10-01,,Vanessa Thorpe,Saturday Night Live,
201,nm5198697,2016-10-01,2016-10-01,,Dennisha Pratt,The Sunny Side Up Show,
202,nm0170724,2016-10-01,2016-10-01,,Olivia Cole,Roots,1942-11-26
203,nm1844427,2016-10-01,2016-10-01,,Olivia Longott,Magic Mike XXL,1980-02-15
204,nm0007363,2016-10-01,2016-10-01,,Mariann Aalda,"Talk to Me, Ginger!",1948-05-07
205,nm0395428,2016-10-01,2016-10-01,,Anna Maria Horsford,Minority Report,1948-03-06
206,nm0502158,2016-10-01,2016-10-01,,Rosetta LeNoire,Family Matters,1911-08-08
207,nm1840615,2016-10-01,2016-10-01,,Grasie Mercedes,Perfect Harmony,1978-02-23
208,nm2148942,2016-10-01,2016-10-01,,Cirie Fields,The Guiding Light,1970-07-18
209,nm1047715,2016-10-01,2016-10-01,,Sidné Anderson,Blue Ruin,1968-09-28
210,nm1990748,2016-10-01,2016-10-01,,Tenique Mathieu,Cribs for Kids Documentary,
211,nm2436343,2016-10-01,2016-10-01,,Candice Gordon,Law & Order: Special Victims Unit,
212,nm1478347,2016-10-01,2016-10-01,,Nichelle Hines,The Resident,
213,nm0686014,2016-10-01,2016-10-01,,Lisa Renee Pitts,Straight Outta Compton,
214,nm1701107,2016-10-01,2016-10-01,,Idara Victor,Alita: Battle Angel,
215,nm2175235,2016-10-01,2016-10-01,,Brandhyze Stanley,Blue Bloods,
216,nm0710969,2016-10-01,2016-10-01,,Lanette Ware,Bad Company,1968-12-27
217,nm2580387,2016-10-01,2016-10-01,,Mesha Millington,Dope Fiend,
218,nm1077920,2016-10-01,2016-10-01,,Keesha Sharp,Lethal Weapon,1973-06-09
219,nm1935086,2016-10-01,2016-10-01,,Tessa Thompson,Creed,1983-10-03
220,nm0808917,2016-10-01,2016-10-01,,Kellita Smith,The Bernie Mac Show,1969-01-15
221,nm0004700,2016-10-01,2016-10-01,,Tatyana Ali,The Fresh Prince of Bel-Air,1979-01-24
222,nm0712368,2016-10-01,2016-10-01,,Raven-Symoné,That's So Raven,1985-12-10
223,nm0132896,2016-10-01,2016-10-01,,Tisha Campbell,Martin,1968-10-13
224,nm0001634,2016-10-01,2016-10-01,,CCH Pounder,The Shield,1952-12-25
225,nm1468674,2016-10-01,2016-10-01,,Rochelle Aytes,Trick 'r Treat,1976-05-17
226,nm0507338,2016-10-01,2016-10-01,,Jenifer Lewis,The Princess and the Frog,1957-01-25
227,nm0513964,2016-10-01,2016-10-01,,LisaRaye McCoy,The Players Club,1966-09-23
228,nm0610298,2016-10-01,2016-10-01,,Tia Mowry-Hardrict,"Sister, Sister",1978-07-06
229,nm0005255,2016-10-01,2016-10-01,,Tamera Mowry-Housley,"Sister, Sister",1978-07-06
230,nm0000739,2016-10-01,2016-10-01,,Debbie Allen,Fame,1950-01-16
231,nm0005067,2016-10-01,2016-10-01,,Tamala Jones,Blue Streak,1974-11-12
232,nm0741242,2016-10-01,2016-10-01,,Anika Noni Rose,The Princess and the Frog,1972-09-06
233,nm0859260,2016-10-01,2016-10-01,,Michelle Thomas,The Young and the Restless,1968-09-23
234,nm0150330,2016-10-01,2016-10-01,,Faune Chambers Watkins,Epic Movie,1976-09-23
235,nm0005375,2016-10-01,2016-10-01,,Lela Rochon,Waiting to Exhale,1964-04-17
236,nm0005389,2016-10-01,2016-10-01,,Victoria Rowell,Dumb and Dumber,1959-05-10
237,nm0327097,2016-10-01,2016-10-01,,Reagan Gomez-Preston,Jerry Maguire,1980-04-24
238,nm0040591,2016-10-01,2016-10-01,,Essence Atkins,A Haunted House,1972-02-07
239,nm0934563,2016-10-01,2016-10-01,,Camille Winbush,Ghost Dog: The Way of the Samurai,1990-02-09
240,nm0005551,2016-10-01,2016-10-01,,Lynn Whitfield,Madea's Family Reunion,1953-02-15
241,nm0779325,2016-10-01,2016-10-01,,Jill Scott,Why Did I Get Married?,1972-04-04
242,nm0088144,2016-10-01,2016-10-01,,Tempestt Bledsoe,The Cosby Show,1973-08-01
243,nm0005336,2016-10-01,2016-10-01,,Sheryl Lee Ralph,Oliver & Company,1956-12-30
244,nm0498146,2016-10-01,2016-10-01,,Robinne Lee,Hitch,1974-07-16
245,nm0424458,2016-10-01,2016-10-01,,A.J. Johnson,House Party,1963-09-03
246,nm0781919,2016-10-01,2016-10-01,,Leslie Segar,Be Inspired: The Life of Heavy D,
247,nm0678656,2016-10-01,2016-10-01,,Valarie Pettiford,Half & Half,1960-07-08
248,nm0580924,2016-10-01,2016-10-01,,S. Epatha Merkerson,Law & Order,1952-11-28
249,nm0005337,2016-10-01,2016-10-01,,Theresa Randle,Bad Boys,1964-12-27
250,nm2374082,2016-10-01,2016-10-01,,Monique Dupree,No Strings 2: Playtime in Hell,1974-12-10
251,nm2230999,2016-10-01,2016-10-01,,La Rivers,Brooklyn.Blue.Sky,
252,nm1171834,2016-10-01,2016-10-01,,Carol Commissiong,Unforgettable,
253,nm0296837,2016-10-01,2016-10-01,,Angela Frye,Velvet Goldmine,1963-04-10
254,nm2344739,2016-10-01,2016-10-01,,Tenisha Torres,Law & Order,
255,nm1139632,2016-10-01,2016-10-01,,Tracie Thoms,Rent,1975-08-19
256,nm0799967,2016-10-01,2016-10-01,,Heather Simms,The Nanny Diaries,1970-02-25
257,nm1323822,2016-10-01,2016-10-01,,Adepero Oduye,Pariah,
258,nm1974540,2016-10-01,2016-10-01,,Miriam A. Hyman,The Chi,
259,nm1556506,2016-10-01,2016-10-01,,Monique Gall,Major Crimes,
260,nm1993363,2016-10-01,2016-10-01,,Paula Rittie,Law & Order: Criminal Intent,
261,nm2003781,2016-10-01,2016-10-01,,Sally Stewart,FBI: Most Wanted,
262,nm0628420,2016-10-01,2016-10-01,,Paula Newsome,Guess Who,
263,nm0497607,2016-10-01,2016-10-01,,Joyce Lee,Law & Order,
264,nm2554997,2016-10-01,2016-10-01,,Kimberly Hebert Gregory,Five Feet Apart,
265,nm1876918,2016-10-01,2016-10-01,,Tracey Leigh,3 from Hell,
266,nm0843100,2016-10-01,2016-10-01,,Wanda Sykes,Monster-in-Law,1964-03-07
267,nm3019163,2016-10-01,2016-10-01,,Parris Nicole,Law & Order: Special Victims Unit,
268,nm1508866,2016-10-01,2016-10-01,,Kelsie Morales,Sunset Park High,
269,nm5956048,2016-10-01,2016-10-01,,Tammi Clayton,Law & Order,
270,nm1828099,2016-10-01,2016-10-01,,Phyllis Johnson,American Assassin,
271,nm0587223,2016-10-01,2016-10-01,,Robin Miles,Murder by Numbers,
272,nm0371416,2016-10-01,2016-10-01,,Ayo Haynes,Lost Souls,
273,nm0019569,2016-10-01,2016-10-01,,Mary Alice,The Matrix Revolutions,1941-12-03
274,nm0403335,2016-10-01,2016-10-01,,Michelle Hurd,Blindspot,1966-12-21
275,nm0435063,2016-10-01,2016-10-01,,Amber Kain,Mercy,1975-11-02
276,nm0584777,2016-10-02,2016-10-02,,Nicki Micheaux,The Shield,
277,nm0301883,2016-10-02,2016-10-02,,Maura Gale,Saints & Sinners,
278,nm0925367,2016-10-02,2016-10-02,,Rhonda Stubbins White,Ruthless,
279,nm0238944,2016-10-02,2016-10-02,,Lynette DuPree,Desperate Housewives,
280,nm0249860,2016-10-02,2016-10-02,,Candace Edwards,CSI: Crime Scene Investigation,
281,nm2406677,2016-10-02,2016-10-02,,Taja V. Simpson,The Oval,
282,nm1057812,2016-10-02,2016-10-02,,Rhonda Marie Alston,"Shake, Rattle and Roll: An American Love Story",1972-11-21
283,nm1048225,2016-10-02,2016-10-02,,Ananda Lewis,On the Line,1973-03-21
284,nm0396685,2016-10-02,2016-10-02,,Marci T. House,Godzilla,1972-04-13
285,nm4024462,2016-10-02,2016-10-02,,Antoinette Robertson,Dear White People,
286,nm0424509,2016-10-02,2016-10-02,,Anne-Marie Johnson,In the Heat of the Night,1960-07-18
287,nm0392228,2016-10-02,2016-10-02,,Karen Holness,Torn: Dark Bullets,
288,nm1313656,2016-10-02,2016-10-02,,Ryan Michelle Bathe,One for the Money,1976-07-27
289,nm3964350,2016-10-02,2016-10-02,,Amandla Stenberg,The Hate U Give,1998-10-23
290,nm0868659,2016-10-02,2016-10-02,,Gina Torres,Serenity,1969-04-25
291,nm1861624,2016-10-02,2016-10-02,,Yaya DaCosta,The Butler,1982-11-15
292,nm0630379,2016-10-02,2016-10-02,,Danielle Nicolet,Central Intelligence,1973-11-24
293,nm0859720,2016-10-02,2016-10-02,,Marsha Thomason,White Collar,1976-01-19
294,nm0254712,2016-10-02,2016-10-02,,Aunjanue Ellis,Men of Honor,1969-02-21
295,nm0724757,2016-10-02,2016-10-02,,Salli Richardson-Whitfield,Anacondas: The Hunt for the Blood Orchid,1967-11-23
296,nm0853231,2016-10-02,2016-10-02,,Tamara Taylor,Bones,1970-09-27
297,nm1330166,2016-10-02,2016-10-02,,Sophina Brown,Because I Said So,1976-09-18
298,nm2503064,2016-10-02,2016-10-02,,Logan Browning,The Perfection,1989-06-09
299,nm0565973,2016-10-02,2016-10-02,,Kandyse McClure,Battlestar Galactica,1980-03-22
300,nm0942668,2016-10-02,2016-10-02,,N'Bushe Wright,Blade,1970-09-20
301,nm0005294,2016-10-02,2016-10-02,,Paula Jai Parker,Hustle & Flow,1969-08-19
302,nm0293439,2016-10-02,2016-10-02,,Jennifer Freeman,You Got Served,1985-10-20
303,nm0645683,2016-10-02,2016-10-02,,Sophie Okonedo,Hotel Rwanda,1968-08-11
304,nm0874086,2016-10-02,2016-10-02,,Rachel True,The Craft,1966-11-15
305,nm0903397,2016-10-02,2016-10-02,,Lark Voorhies,Saved by the Bell,1974-03-25
306,nm0004917,2016-10-02,2016-10-02,,Kim Fields,The Facts of Life,1969-05-12
307,nm0688624,2016-10-02,2016-10-02,,Sydney Tamiia Poitier,Death Proof,1973-11-15
