Position,Const,Created,Modified,Description,Name,Known For,Birth Date
52,nm1617685,2016-02-04,2016-02-04,,Jennifer Hudson,Dreamgirls,1981-09-12
53,nm1942207,2016-02-04,2016-02-04,,China Anne McClain,Hubie Halloween,1998-08-25
54,nm2057826,2016-02-04,2016-02-04,,Sierra Aylina McClain,9-1-1: Lone Star,1994-03-16
55,nm2055160,2016-02-04,2016-02-04,,Lauryn Alisa McClain,Haunt,1997-01-09
56,nm0000505,2016-02-04,2016-02-04,,Nia Long,Big Momma's House,1970-10-30
57,nm3747326,2016-02-04,2016-02-04,,Nicki Minaj,The Other Woman,1982-12-08
58,nm0036651,2016-02-04,2016-02-04,,Tichina Arnold,Everybody Hates Chris,1969-06-28
59,nm0594898,2016-02-05,2016-02-05,,Mo'Nique,Precious,1967-12-11
60,nm0757855,2016-02-05,2016-02-05,,Zoe Saldana,Avatar,1978-06-19
61,nm0605079,2016-02-05,2016-02-05,,Tracy Morgan,30 Rock,1968-11-10
62,nm0004879,2016-02-05,2016-02-05,,Snoop Dogg,Turbo,1971-10-20
63,nm0428591,2016-02-05,2016-02-05,,Lil' Kim,Moulin Rouge!,1974-07-11
64,nm0616550,2016-02-05,2016-02-05,,Mya,Chicago,1979-10-10
65,nm2829737,2016-02-05,2016-02-05,,Gabourey Sidibe,Precious,1983-05-06
66,nm1073992,2016-02-05,2016-02-05,,Eve,Barbershop,1978-11-10
67,nm0524839,2016-02-05,2016-02-05,,Ludacris,Crash,1977-09-11
68,nm0004763,2016-02-05,2016-02-05,,Mary J. Blige,Mudbound,1971-01-11
69,nm0891153,2016-02-05,2016-02-05,,Countess Vaughn,Moesha,1978-08-08
70,nm1666212,2016-02-05,2016-02-05,,Ne-Yo,Battle: Los Angeles,1982-10-18
71,nm0000637,2016-02-05,2016-02-05,,Tupac Shakur,Poetic Justice,1971-06-16
72,nm1006024,2016-02-05,2016-02-05,,Alicia Keys,The Secret Life of Bees,1981-01-25
73,nm0147825,2016-02-05,2016-02-05,,Cedric the Entertainer,Barbershop,1964-04-24
74,nm0004723,2016-02-05,2016-02-05,,Tyra Banks,Coyote Ugly,1973-12-04
75,nm1807170,2016-02-05,2016-02-05,,Lil J.J.,Twenty to One,1990-10-31
76,nm2466842,2016-02-05,2016-02-05,,Quinton Aaron,The Blind Side,1984-08-15
77,nm1013044,2016-02-05,2016-02-05,,Drake,Degrassi: The Next Generation,1986-10-24
78,nm0001365,2016-02-05,2016-02-05,,Whitney Houston,The Bodyguard,1963-08-09
79,nm1733488,2016-02-05,2016-02-05,,Ciara,That's My Boy,1985-10-25
80,nm0001368,2016-02-05,2016-02-05,,Ernie Hudson,Ghost Busters,1945-12-17
81,nm0924918,2016-02-05,2016-02-05,,Jaleel White,Family Matters,1976-11-27
82,nm0004772,2016-02-05,2016-02-05,,Toni Braxton,The Oogieloves in the Big Balloon Adventure,1966-10-07
83,nm3918035,2016-02-05,2016-02-05,,Zendaya,Spider-Man: Homecoming,1996-09-01
84,nm1265067,2016-02-05,2016-02-05,,50 Cent,Get Rich or Die Tryin',1975-07-06
85,nm0071275,2016-02-05,2016-02-05,,André 3000,Four Brothers,1975-05-27
86,nm0005043,2016-02-05,2016-02-05,,Ray J,Mars Attacks!,1981-01-17
87,nm1214289,2016-02-05,2016-02-05,,Pharrell Williams,Despicable Me 2,1973-04-05
88,nm0454701,2016-02-05,2016-02-05,,Erik King,Dexter,
89,nm0625099,2016-02-05,2016-02-05,,Nelly,The Longest Yard,1974-11-02
90,nm0002039,2016-02-05,2016-02-05,,Ruby Dee,American Gangster,1922-10-27
91,nm0005384,2016-02-05,2016-02-05,,Diana Ross,Lady Sings the Blues,1944-03-26
92,nm0818055,2016-02-05,2016-02-05,,Octavia Spencer,Hidden Figures,1970-05-25
93,nm1822655,2016-02-05,2016-02-05,,Tyrel Jackson Williams,Lab Rats,
94,nm1081836,2016-02-05,2016-02-05,,Kyle Massey,Cory in the House,1991-08-28
95,nm3332894,2016-02-05,2016-02-05,,Jordan Fisher,Moana,1994-04-24
96,nm2193861,2016-02-05,2016-02-05,,Leon Thomas III,August Rush,1993-08-01
97,nm2070606,2016-02-05,2016-02-05,,Windell Middlebrooks,Body of Proof,1979-01-08
98,nm0001014,2016-02-05,2016-02-05,,Mariah Carey,Precious,1970-03-27
99,nm2554052,2016-02-05,2016-02-05,,Jordin Sparks Thomas,Sparkle,1989-12-22
100,nm0000648,2016-02-05,2016-02-05,,Wesley Snipes,Blade,1962-07-31
101,nm0001070,2016-02-05,2016-02-05,,Bill Cosby,The Cosby Show,1937-07-12
102,nm0001640,2016-02-05,2016-02-05,,Richard Pryor,Superman III,1940-12-01
103,nm0001384,2016-02-05,2016-02-05,,Ice-T,New Jack City,1958-02-16
104,nm0000469,2016-02-05,2016-02-05,,James Earl Jones,Rogue One,1931-01-17
105,nm0002035,2016-02-05,2016-02-05,,Sammy Davis Jr.,The Cannonball Run,1925-12-08
106,nm0289359,2016-02-05,2016-02-05,,Redd Foxx,Sanford and Son,1922-12-09
107,nm0001835,2016-02-05,2016-02-05,,Carl Weathers,Predator,1948-01-14
108,nm0002138,2016-02-05,2016-02-05,,Gregory Hines,History of the World: Part I,1946-02-14
109,nm0428963,2016-02-05,2016-02-05,,Orlando Jones,Evolution,1968-04-10
110,nm0638056,2016-02-05,2016-02-05,,Bill Nunn,Regarding Henry,1953-10-20
111,nm0005170,2016-02-05,2016-02-05,,Bernie Mac,The Bernie Mac Show,1957-10-05
112,nm0001115,2016-02-05,2016-02-05,,Ossie Davis,Do the Right Thing,1917-12-18
113,nm0025309,2016-02-05,2016-02-05,,John Amos,Coming to America,1939-12-27
114,nm0002119,2016-02-05,2016-02-05,,Arsenio Hall,Coming to America,1956-02-12
115,nm0001310,2016-02-05,2016-02-05,,Kevin Peter Hall,Predator 2,1955-05-09
116,nm0001558,2016-02-05,2016-02-05,,Mr. T,Rocky III,1952-05-21
117,nm0005435,2016-02-05,2016-02-05,,Sinbad,Jingle All the Way,1956-11-10
118,nm0843100,2016-02-05,2016-02-05,,Wanda Sykes,Monster-in-Law,1964-03-07
119,nm0004771,2016-02-05,2016-02-05,,Da Brat,Bad Boys,1974-04-14
120,nm0123748,2016-02-05,2016-02-05,,Tony Burton,Assault on Precinct 13,1937-03-23
121,nm0005084,2016-02-06,2016-02-06,,R. Kelly,Trapped in the Closet: Chapters 1-12,1967-01-08
122,nm0419650,2016-02-06,2016-02-06,,Jay-Z,The Great Gatsby,1969-12-04
123,nm1276562,2016-02-06,2016-02-06,,Mario,Freedom Writers,1986-08-27
124,nm0713378,2016-02-06,2016-02-06,,Usher,The Faculty,1978-10-14
125,nm1577190,2016-02-06,2016-02-06,,Kanye West,The Great Gatsby,1977-06-08
126,nm1982597,2016-02-06,2016-02-06,,Rihanna,Battleship,1988-02-20
127,nm0877913,2016-02-06,2016-02-06,,Tina Turner,Mad Max Beyond Thunderdome,1939-11-26
128,nm0004896,2016-02-06,2016-02-06,,Eminem,8 Mile,1972-10-17
129,nm1211443,2016-02-06,2016-02-06,,Lil' Wayne,Suicide Squad,1982-09-27
130,nm2100284,2016-02-06,2016-02-06,,Pitbull,Epic,1981-01-14
131,nm2954670,2016-02-06,2016-02-06,,Flo Rida,Deadpool,1979-12-16
132,nm0001391,2016-02-06,2016-02-06,,Michael Jackson,Michael Jackson: Thriller,1958-08-29
133,nm3287429,2016-02-06,2016-02-06,,B.o.B.,Chronicle,1988-11-15
134,nm1443238,2016-02-06,2016-02-06,,Will.i.am,X-Men Origins: Wolverine,1975-03-15
135,nm4381591,2016-02-06,2016-02-06,,Wiz Khalifa,Fast & Furious 7,1987-09-08
136,nm2797293,2016-02-06,2016-02-06,,Soulja Boy,Scouts Guide to the Zombie Apocalypse,1990-07-28
137,nm1441760,2016-02-06,2016-02-06,,Lil Jon,Bad Boys for Life,1971-01-17
138,nm0247924,2016-02-06,2016-02-06,,Eazy-E,The Watch,1964-09-07
139,nm0700570,2016-02-06,2016-02-06,,Big Pun,That Awkward Moment,1971-11-09
140,nm0230489,2016-02-06,2016-02-06,,Nate Dogg,I Spy,1969-08-19
141,nm0944702,2016-02-06,2016-02-06,,Xzibit,The X Files: I Want to Believe,1974-09-18
142,nm0857263,2016-02-06,2016-02-06,,The Notorious B.I.G.,Bad Boys,1972-05-21
143,nm0914418,2016-02-06,2016-02-06,,Tionne 'T-Boz' Watkins,ATL,1970-04-26
144,nm0157612,2016-02-06,2016-02-06,,Rozonda 'Chilli' Thomas,Marshall,1971-02-27
145,nm0519912,2016-02-06,2016-02-06,,Lisa 'Left Eye' Lopes,Nothing to Lose,1971-05-27
146,nm1055396,2016-02-06,2016-02-06,,Missy Elliott,Lara Croft: Tomb Raider,1971-07-01
147,nm0130572,2016-02-06,2016-02-06,,Cab Calloway,The Blues Brothers,1907-12-25
148,nm0153124,2016-02-06,2016-02-06,,Ray Charles,The Blues Brothers,1930-09-23
149,nm0113768,2016-02-06,2016-02-06,,James Brown,The Blues Brothers,1933-05-03
150,nm0291349,2016-02-06,2016-02-06,,Aretha Franklin,The Blues Brothers,1942-03-25
151,nm0001079,2016-02-06,2016-02-06,,Scatman Crothers,The Shining,1910-05-23
152,nm0925200,2016-02-06,2016-02-06,,Maurice White,Doctor Strange,1941-12-19
153,nm0005153,2016-02-06,2016-02-06,,Little Richard,Predator,1932-12-05
154,nm2857655,2016-02-06,2016-02-06,,Skai Jackson,The Rebound,2002-04-08
155,nm0400259,2016-02-06,2016-02-06,,Booker Huffman,WrestleMania 22,1965-03-01
156,nm2048764,2016-02-06,2016-02-06,,Bobby Lashley,WWF SmackDown!,1976-07-16
157,nm0003044,2016-02-06,2016-02-06,,Michael Jordan,Space Jam,1963-02-17
158,nm1101483,2016-02-06,2016-02-06,,Kobe Bryant,Dear Basketball,1978-08-23
159,nm0167850,2016-02-06,2016-02-06,,Bill Cobbs,Demolition Man,1934-06-16
160,nm0934902,2016-02-06,2016-02-06,,Paul Winfield,Star Trek II: The Wrath of Khan,1939-05-22
161,nm0001817,2016-02-06,2016-02-06,,Reginald VelJohnson,Die Hard,1952-08-16
162,nm0859260,2016-02-06,2016-02-06,,Michelle Thomas,The Young and the Restless,1968-09-23
163,nm3775845,2016-02-06,2016-02-06,,Michael Oher,The NFL on CBS,1986-05-28
164,nm4259609,2016-02-06,2016-02-06,,Cam Newton,All in with Cam Newton,1989-05-11
165,nm0265668,2016-02-06,2016-02-06,,Donald Faison,Scrubs,1974-06-22
166,nm0114371,2016-02-06,2016-02-06,,Orlando Brown,Major Payne,1987-12-04
167,nm2674657,2016-02-06,2016-02-06,,Niatia 'Lil Mama' Kirkland,Lil Mama: Lip Gloss,1989-10-04
168,nm0610298,2016-02-06,2016-02-06,,Tia Mowry-Hardrict,"Sister, Sister",1978-07-06
169,nm0005255,2016-02-06,2016-02-06,,Tamera Mowry-Housley,"Sister, Sister",1978-07-06
170,nm0396867,2016-02-06,2016-02-06,,Marques Houston,You Got Served,1981-08-04
