Position,Const,Created,Modified,Description,Name,Known For,Birth Date
59,nm4905066,2017-11-28,2017-11-28,,Isabella Gomez,Matador,
60,nm0000547,2017-11-28,2017-11-28,,Alfred Molina,Spider-Man 2,1953-05-24
61,nm2358540,2017-11-28,2017-11-28,,Natalie Martinez,Death Race,1984-07-12
62,nm1986960,2017-11-28,2017-11-28,,Emily Rios,The Bridge,1989-04-27
63,nm4205710,2017-11-28,2017-11-28,,Miguel Gomez,Southpaw,
64,nm0535502,2017-11-28,2017-11-28,,Mía Maestro,The Strain,1978-06-19
65,nm2126101,2017-11-28,2017-11-28,,William Levy,Resident Evil: The Final Chapter,1980-08-29
66,nm0220240,2017-11-28,2017-11-28,,Eugenio Derbez,No se aceptan devoluciones,1962-09-02
67,nm0004695,2017-11-28,2017-11-28,,Jessica Alba,Fantastic Four,1981-04-28
68,nm0992694,2017-11-28,2017-11-28,,Danny Pino,Cold Case,1974-04-15
69,nm1165539,2017-11-28,2017-11-28,,Cauã Reymond,Pedro,1980-05-20
70,nm0734442,2017-11-28,2017-11-28,,James Roday Rodriguez,Psych,1976-04-04
71,nm0951148,2017-11-28,2017-11-28,,Odette Annable,Cloverfield,1985-05-10
72,nm2201555,2017-11-28,2017-11-28,,Aubrey Plaza,Safety Not Guaranteed,1984-06-26
73,nm1580243,2017-11-28,2017-11-28,,Cote de Pablo,NCIS: Naval Criminal Investigative Service,1979-11-12
74,nm1194672,2017-11-28,2017-11-28,,Julie Gonzalo,A Cinderella Story,1981-09-09
75,nm0663469,2017-11-28,2017-11-28,,Lana Parrilla,Once Upon a Time,1977-07-15
76,nm2242399,2017-11-28,2017-11-28,,Cristela Alonzo,Cars 3,1979-01-06
77,nm0578949,2017-11-28,2017-11-28,,Eva Mendes,Hitch,1974-03-05
78,nm3715867,2017-11-28,2017-11-28,,Stephanie Beatriz,Brooklyn Nine-Nine,
79,nm0133566,2017-11-28,2017-11-28,,Maria Canals-Barrera,Wizards of Waverly Place,1966-09-28
80,nm0303073,2017-11-28,2017-11-28,,Melissa Fumero,Brooklyn Nine-Nine,1982-08-19
81,nm4023073,2017-11-28,2017-11-28,,Rosa Salazar,Alita: Battle Angel,1985-07-16
82,nm0022306,2017-11-28,2017-11-28,,Laz Alonso,The Boys,1974-03-25
83,nm0009716,2017-11-28,2017-11-28,,Kirk Acevedo,Dawn of the Planet of the Apes,1971-11-27
84,nm2030779,2017-11-28,2017-11-28,,Moises Arias,Ender's Game,1994-04-18
85,nm0004817,2017-11-28,2017-11-28,,Matt Cedeño,Power,1973-11-14
86,nm0004827,2017-11-28,2017-11-28,,Eddie Cibrian,The Cave,1973-06-16
87,nm5291376,2017-11-28,2017-11-28,,Bianca A. Santos,The Duff,1990-07-26
88,nm1824751,2017-11-29,2017-11-29,,Michael Trevino,The Vampire Diaries,1985-01-25
89,nm0711559,2017-11-29,2017-11-29,,Victor Rasuk,Lords of Dogtown,1984-01-15
90,nm1545471,2017-11-29,2017-11-29,,Jake T. Austin,Wizards of Waverly Place,1994-12-03
91,nm0005224,2017-11-29,2017-11-29,,Alex Meneses,The Wall of Mexico,1965-02-12
92,nm0629653,2017-11-29,2017-11-29,,Marisol Nichols,Riverdale,1973-11-02
93,nm2963874,2017-11-29,2017-11-29,,Edy Ganem,Devious Maids,1983-09-20
94,nm0190497,2017-11-29,2017-11-29,,Wilson Cruz,Star Trek: Discovery,1973-12-27
95,nm0001208,2017-11-29,2017-11-29,,Miguel Ferrer,Traffic,1955-02-07
96,nm7449863,2017-11-29,2017-11-29,,Jorge Lendeborg Jr.,Bumblebee,
97,nm4448022,2017-11-29,2017-11-29,,Lorenza Izzo,Knock Knock,1989-09-19
98,nm0067367,2017-11-29,2017-11-29,,Bérénice Bejo,The Artist,1976-07-07
99,nm1386645,2017-11-29,2017-11-29,,Oscar Nuñez,The Proposal,1958-11-18
100,nm0953882,2017-11-29,2017-11-29,,David Zayas,Skyline,1962-08-15
101,nm1186061,2017-11-29,2017-11-29,,Sarah Ramos,Parenthood,1991-05-21
102,nm2116006,2017-11-29,2017-11-29,,Francia Raisa,Grown-ish,1988-07-26
103,nm0904967,2017-11-29,2017-11-29,,Luna Lauren Velez,Dexter,1964-11-02
104,nm1004774,2017-11-29,2017-11-29,,Amaury Nolasco,Prison Break,1970-12-24
105,nm1004211,2017-11-29,2017-11-29,,Alana De La Garza,Law & Order,1976-06-18
106,nm0651067,2017-11-29,2017-11-29,,Ana Ortiz,Ugly Betty,1971-01-25
107,nm0004286,2017-11-29,2017-11-29,,Clifton Collins Jr.,Star Trek,1970-06-16
108,nm0001618,2017-11-29,2017-11-29,,Joaquin Phoenix,Walk the Line,1974-10-28
109,nm3014089,2017-11-29,2017-11-29,,Emeraude Toubia,Shadowhunters: The Mortal Instruments,
110,nm2948025,2017-11-29,2017-11-29,,Aimee Carrero,Elena of Avalor,1988-07-15
111,nm2295540,2017-11-29,2017-11-29,,Natalie Morales,Parks and Recreation,1985-02-15
112,nm2772105,2017-11-29,2017-11-29,,Oona Chaplin,The Longest Ride,1986-06-04
113,nm3594330,2017-11-29,2017-11-29,,Arturo Castro,Broad City,
114,nm4430395,2017-11-29,2017-11-29,,Gabrielle Ruiz,Crazy Ex-Girlfriend,1984-12-12
115,nm2158803,2018-01-01,2018-01-01,,Alex Meraz,The Twilight Saga: New Moon,1985-01-10
116,nm2636310,2018-02-04,2018-02-04,,Manuel Garcia-Rulfo,The Magnificent Seven,1981-02-25
117,nm6588867,2018-02-04,2018-02-04,,Anthony Ramos,Hamilton,1991-11-01
118,nm0005529,2018-02-06,2018-02-06,,Lisa Vidal,Star Trek,1965-06-13
119,nm1172285,2018-02-08,2018-02-08,,Martha Higareda,Amar te duele,1983-08-24
120,nm0025745,2018-02-22,2018-02-22,,Elena Anaya,La piel que habito,1975-07-17
121,nm0452963,2018-02-22,2018-02-22,,Q'orianka Kilcher,The New World,1990-02-11
122,nm1503432,2018-03-08,2018-03-08,,Catalina Sandino Moreno,Maria Full of Grace,1981-04-19
123,nm1299147,2018-03-20,2018-03-20,,Aarón Díaz,Quantico,1982-03-07
124,nm2111303,2018-03-27,2018-03-27,,Christian Navarro,13 Reasons Why,
125,nm6723114,2018-03-27,2018-03-27,,Henry Zaga,The New Mutants,
126,nm6718958,2018-03-27,2018-03-27,,Allegra Acosta,Runaways,
127,nm0305272,2018-03-27,2018-03-27,,JoAnna Garcia Swisher,Not Another Teen Movie,1979-08-10
128,nm0327764,2018-03-27,2018-03-27,,Nicholas Gonzalez,The Good Doctor,1976-01-03
129,nm3841486,2018-03-27,2018-03-27,,Adan Canto,Designated Survivor,1981-12-05
130,nm4731251,2018-03-27,2018-03-27,,Alison Fernandez,Upside-Down Magic,
131,nm0646568,2018-03-27,2018-03-27,,Karla Souza,How to Get Away with Murder,
132,nm6654900,2018-03-27,2018-03-27,,Soni Bringas,Fuller House,2002-02-02
133,nm5245722,2018-03-27,2018-03-27,,Adria Arjona,Pacific Rim: Uprising,
134,nm4427331,2018-03-27,2018-03-27,,Daniella Pineda,Jurassic World: Fallen Kingdom,1987-02-20
135,nm0246686,2018-03-27,2018-03-27,,Melonie Diaz,Fruitvale Station,1984-04-25
136,nm0005186,2018-03-27,2018-03-27,,Constance Marie,George Lopez,1965-09-09
137,nm0282948,2018-03-27,2018-03-27,,Dominic Flores,Our Brand Is Crisis,
138,nm0135585,2018-03-27,2018-03-27,,Freddy Rodríguez,Planet Terror,1975-01-17
139,nm5555747,2018-03-29,2018-03-29,,Callie Hernandez,Alien: Covenant,1988-05-24
140,nm1223326,2018-04-03,2018-04-03,,Fernanda Andrade,The Devil Inside,1984-03-08
141,nm1890981,2018-06-05,2018-06-05,,Gabriel Luna,Terminator: Dark Fate,1982-12-05
142,nm0721376,2018-06-05,2018-06-05,,Natalia Reyes,Terminator: Dark Fate,1987-02-06
143,nm3544963,2018-06-11,2018-06-11,,Ana Villafañe,New Amsterdam,
144,nm2824707,2018-06-11,2018-06-11,,J.R. Ramirez,Manifest,1980-10-08
145,nm4782126,2018-08-27,2018-08-27,,Karen Valero,Emergence,
146,nm7331093,2018-08-27,2018-08-27,,Carla Baratta,Mayans M.C.,1990-07-09
147,nm4148614,2018-08-27,2018-08-27,,Sean Teale,Little Voice,1992-06-18
148,nm6201454,2018-09-07,2018-09-07,,Sarunas J. Jackson,Insecure,
149,nm8405300,2018-09-10,2018-09-10,,Eva Noblezada,Yellow Rose,1996-03-18
150,nm6376834,2018-10-21,2018-10-21,,Emily Tosta,Mayans M.C.,1998-03-26
151,nm2019219,2018-12-27,2018-12-27,,Josh Segarra,Trainwreck,1986-06-03
152,nm1595801,2018-12-29,2018-12-29,,Alyssa Diaz,Red Dawn,1985-09-07
153,nm6161516,2018-12-29,2018-12-29,,Camila Mendes,Riverdale,1994-06-29
154,nm0735442,2018-12-29,2018-12-29,,Michelle Rodriguez,Avatar,1978-07-12
155,nm1270009,2018-12-29,2018-12-29,,Genesis Rodriguez,Man on a Ledge,1987-07-29
156,nm1229204,2018-12-29,2018-12-29,,Nadine Velazquez,Flight,1978-11-20
157,nm1204760,2018-12-29,2018-12-29,,Kevin Alejandro,Arrow,1976-04-07
158,nm1238555,2018-12-29,2018-12-29,,JD Pardo,The Twilight Saga: Breaking Dawn - Part 2,1980-09-07
159,nm1072555,2018-12-29,2018-12-29,,Morena Baccarin,Deadpool,1979-06-02
160,nm0728936,2019-01-10,2019-01-10,,Diana Maria Riva,Dead to Me,1969-07-22
161,nm3471005,2019-03-16,2019-03-16,,Jeanine Mason,"Roswell, New Mexico",1991-01-14
162,nm3244078,2019-03-16,2019-03-16,,David Castañeda,Sicario: Day of the Soldado,1989-10-24
163,nm5097044,2019-05-16,2019-05-16,,Isabela Merced,Transformers: The Last Knight,2001-07-10
164,nm1950004,2019-05-16,2019-05-16,,Raúl Castillo,We the Animals,1977-08-30
165,nm1861624,2019-05-16,2019-05-16,,Yaya DaCosta,The Butler,1982-11-15
166,nm1525011,2019-05-16,2019-05-16,,Shalim Ortiz,Grand Hotel,1979-02-26
167,nm4683167,2019-12-18,2019-12-18,,Daniel Zovatto,Penny Dreadful: City of Angels,
168,nm0735226,2019-12-18,2019-12-18,,Adam Rodriguez,CSI: Miami,1975-04-02
169,nm4911194,2019-12-30,2019-12-30,,Jenna Ortega,The Babysitter: Killer Queen,2002-09-27
170,nm2512132,2020-01-28,2020-01-28,,Angelique Cabral,Life in Pieces,1979-01-28
171,nm7851611,2020-02-06,2020-02-06,,Jharrel Jerome,Moonlight,1997-10-09
172,nm5896355,2020-02-19,2020-02-19,,Anya Taylor-Joy,The Queen's Gambit,1996-04-16
173,nm2665254,2020-02-19,2020-02-19,,Julissa Calderon,Revenge,
174,nm5315658,2020-02-24,2020-02-24,,Laysla De Oliveira,Locke & Key,
175,nm0719371,2020-02-24,2020-02-24,,Chelsea Rendon,Bright,1993-03-15
176,nm4574440,2020-02-24,2020-02-24,,Melissa Barrera,Dos Veces Tú,1990-07-04
177,nm3066909,2020-02-24,2020-02-24,,Mishel Prada,Fear the Walking Dead: Passage,1989-12-23
178,nm7081158,2020-02-24,2020-02-24,,Diego Tinoco,On My Block,
179,nm2834669,2020-04-30,2020-04-30,,Monica Raymund,Chicago Fire,1986-07-26
180,nm7630848,2020-05-07,2020-05-07,,Michael Cimino,"Love, Victor",1999-11-10
181,nm6259860,2020-07-03,2020-07-03,,Sofia Carson,Descendants: Wicked World,1993-04-10
182,nm4927704,2020-08-07,2020-08-07,,Xolo Maridueña,Cobra Kai,2001-06-09
183,nm3830257,2020-09-28,2020-09-28,,Melissa Villaseñor,Saturday Night Live,1987-10-09
184,nm6639989,2020-10-17,2020-10-17,,Danny Ramirez,Assassination Nation,
185,nm7961780,2020-10-17,2020-10-17,,Xochitl Gomez,Doctor Strange in the Multiverse of Madness,
186,nm5049751,2020-10-18,2020-10-18,,Mj Rodriguez,Pose,
187,nm1227481,2020-10-29,2020-10-29,,Veronica Falcón,Perry Mason,1966-08-08
188,nm3663196,2020-10-29,2020-10-29,,Ariana DeBose,Hamilton,1991-01-25
189,nm0131781,2020-11-01,2020-11-01,,Jaime Camil,Jane the Virgin,1973-07-22
190,nm0478886,2020-11-01,2020-11-01,,Ana de la Reguera,Nacho Libre,1977-04-08
191,nm0692493,2020-11-01,2020-11-01,,Lidia Porto,Get Shorty,1963-02-07
192,nm2474632,2020-11-02,2020-11-02,,Gabriel Chavarria,War for the Planet of the Apes,
193,nm0171583,2020-11-17,2020-11-17,,Ivonne Coll,Instinct,1947-06-18
194,nm0764445,2020-11-17,2020-11-17,,Horatio Sanz,Bachelorette,1969-06-04
195,nm0708381,2020-11-17,2020-11-17,,Sara Ramirez,Grey's Anatomy,1975-08-31
196,nm4875229,2020-11-24,2020-11-24,,Alycia Pascual-Pena,Chase,
197,nm4984883,2020-11-26,2020-11-26,,Haskiri Velazquez,Saved by the Bell,
198,nm0508139,2020-11-26,2020-11-26,,Selenis Leyva,Spider-Man: Homecoming,1972-05-26
199,nm8567338,2021-02-20,2021-02-20,,Sasha Calle,The Flash,1995-08-07
