titles,year,imdb_rating,num_votes,genre,film_rating,director,lead_actor,gross,max_theaters,opening_gross,opening_weekend_perc,opening_theaters,open_date,close_date,Race,Race_Specific,Male
Ant-Man and the Wasp,2018,7,318790,Action,PG-13,Peyton Reed,Paul Rudd,216648740,4184,75812205,35,4184,12/1/2018,12/1/2018,Not POC,White,1
Bohemian Rhapsody,2018,8,460662,Action,PG-13,Bryan Singer,Rami Malek,216428042,4125,51061119,23.6,4125,4/1/2018,4/1/2018,POC,White,1
A Star Is Born,2018,7.6,340623,Action,R,Bradley Cooper,Lady Gaga,215288866,4349,42908051,19.9,4349,5/1/2018,5/1/2018,Not POC,White,0
Solo: A Star Wars Story,2018,6.9,297827,Action,PG-13,Ron Howard,Alden Ehrenreich,213767512,4349,84420489,39.5,4349,10/1/2018,10/1/2018,Not POC,White,1
Venom,2018,6.7,367663,Action,PG-13,Ruben Fleischer,Tom Hardy,213515506,4141,80255756,37.6,4141,11/1/2018,11/1/2018,Not POC,White,1
It Chapter Two,2019,6.5,211993,Action,R,Andy Muschietti,Jessica Chastain,211593228,4310,91062152,43,4310,3/1/2019,3/1/2019,Not POC,White,0
Coco,2017,8.4,396713,Action,PG,Lee Unkrich,Adrian Molina,210460015,4148,50802605,24.1,4148,9/1/2017,9/1/2017,POC,Hispanic,1
Bad Boys for Life,2020,6.6,134229,Action,R,Adil El Arbi,Will Smith,206305244,3775,62504105,30.3,3775,1/1/2020,1/1/2020,POC,Black,1
Ralph Breaks the Internet,2018,7,134986,Action,PG,Phil Johnston,Rich Moore,201091711,4141,56237634,28,4141,2/1/2018,2/1/2018,Not POC,White,1
Spider-Man: Into the Spider-Verse,2018,8.4,389412,Action,PG,Bob Persichetti,Peter Ramsey,190241310,4395,35363376,18.6,4395,7/1/2018,7/1/2018,Not POC,White,1
Dunkirk,2017,7.8,565248,Action,PG-13,Christopher Nolan,Fionn Whitehead,188045546,4103,50513488,26.9,4103,12/1/2017,12/1/2017,Not POC,White,1
A Quiet Place,2018,7.5,413917,Action,PG-13,John Krasinski,Emily Blunt,188024361,4386,50203562,26.7,4386,10/1/2018,10/1/2018,Not POC,White,0
Get Out,2017,7.7,501310,Action,R,Jordan Peele,Daniel Kaluuya,176040665,4080,33377060,19,4080,11/1/2017,11/1/2017,POC,Black,1
The Lego Batman Movie,2017,7.3,132467,Action,PG,Chris McKay,Will Arnett,175750384,4080,53003468,30.2,4080,3/1/2017,3/1/2017,Not POC,White,1
Us,2019,6.8,235094,Action,R,Jordan Peele,Lupita Nyong'o,175084580,4310,71117625,40.6,4310,7/1/2019,7/1/2019,POC,Black,0
The Boss Baby,2017,6.3,110234,Action,PG,Tom McGrath,Alec Baldwin,175003033,4535,50198902,28.7,4535,6/1/2017,6/1/2017,Not POC,White,1
Crazy Rich Asians,2018,6.9,145320,Action,PG-13,Jon M. Chu,Constance Wu,174532921,4206,26510140,15.2,4206,7/1/2018,7/1/2018,POC,Asian,0
The Greatest Showman,2017,7.6,243841,Action,PG,Michael Gracey,Hugh Jackman,174340174,4529,8805843,5.1,4529,12/1/2017,12/1/2017,Not POC,White,1
Fast & Furious Presents: Hobbs & Shaw,2019,6.4,171589,Action,PG-13,David Leitch,Dwayne Johnson,173956935,4634,60038950,34.5,4634,7/1/2019,7/1/2019,POC,Black,1
Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.5,268203,Action,PG-13,Joachim Rønning,Johnny Depp,172558876,4051,62983253,36.5,4051,11/1/2017,11/1/2017,Not POC,White,1
Mary Poppins Returns,2018,6.7,78349,Action,PG,Rob Marshall,Emily Blunt,171958438,4206,23523121,13.7,4206,11/1/2018,11/1/2018,Not POC,White,0
John Wick: Chapter 3 - Parabellum,2019,7.4,282861,Action,R,Chad Stahelski,Keanu Reeves,171015687,4634,56818067,33.2,4634,10/1/2019,10/1/2019,Not POC,White,1
Kong: Skull Island,2017,6.6,279423,Action,PG-13,Jordan Vogt-Roberts,Tom Hiddleston,168052812,4051,61025472,36.3,4051,3/1/2017,3/1/2017,Not POC,White,1
Hotel Transylvania 3: Summer Vacation,2018,6.3,58998,Action,PG,Genndy Tartakovsky,Adam Sandler,167510016,4000,44076225,26.3,4000,11/1/2018,11/1/2018,Not POC,White,1
Knives Out,2019,7.9,476136,Action,PG-13,Rian Johnson,Daniel Craig,165363234,4476,26769548,16.2,4476,5/1/2019,5/1/2019,Not POC,White,1
How to Train Your Dragon: The Hidden World,2019,7.5,107262,Action,PG,Dean DeBlois,Jay Baruchel,160799505,4476,55022245,34.2,4476,10/1/2019,10/1/2019,Not POC,White,1
Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,227886,Action,PG-13,David Yates,Eddie Redmayne,159555901,4000,62163104,39,4000,4/1/2018,4/1/2018,Not POC,White,1
Halloween,2018,6.5,122681,Action,R,David Gordon Green,Jamie Lee Curtis,159342015,3904,76221545,47.8,3904,10/1/2018,10/1/2018,Not POC,White,0
1917,2019,8.3,447503,Action,R,Sam Mendes,Dean-Charles Chapman,159227644,4374,576216,0.4,4374,10/1/2019,10/1/2019,Not POC,White,1
The Secret Life of Pets 2,2019,6.5,51429,Action,PG,Chris Renaud,Jonathan del Val,158874395,4374,46652680,29.4,4374,,,Not POC,White,1
Cars 3,2017,6.7,78635,Action,G,Brian Fee,Owen Wilson,152901115,4071,53688680,35.1,4071,3/1/2017,3/1/2017,Not POC,White,1
Sonic the Hedgehog,2020,6.5,94578,Action,PG,Jeff Fowler,Ben Schwartz,148974665,3775,58018348,38.9,3775,,,Not POC,White,1
War for the Planet of the Apes,2017,7.4,230391,Action,PG-13,Matt Reeves,Andy Serkis,146880162,4071,56262929,38.3,4071,7/1/2017,7/1/2017,Not POC,White,1
The Meg,2018,5.6,153167,Action,PG-13,Jon Turteltaub,Jason Statham,145443742,3686,45402195,31.2,3686,4/1/2018,4/1/2018,Not POC,White,1
Pokémon Detective Pikachu,2019,6.6,141018,Action,PG,Rob Letterman,Ryan Reynolds,144105346,4227,54365242,37.7,4227,12/1/2019,12/1/2019,Not POC,White,1
Once Upon a Time... In Hollywood,2019,7.6,569073,Action,R,Quentin Tarantino,Leonardo DiCaprio,142502728,4227,41082018,28.8,4227,,,Not POC,White,1
Shazam!,2019,7,266933,Action,PG-13,David F. Sandberg,Zachary Levi,140371656,4570,53505326,38.1,4570,9/1/2019,9/1/2019,Not POC,White,1
Ocean's Eight,2018,6.9,191073,Action,PG-13,Gary Ross,Sandra Bullock,140218711,4381,41607378,29.7,4381,5/1/2018,5/1/2018,Not POC,White,0
Ready Player One,2018,7.4,375482,Action,PG-13,Steven Spielberg,Tye Sheridan,137690172,4381,41764050,30.3,4381,9/1/2018,9/1/2018,Not POC,White,1
Wonder,2017,8,145232,Action,PG,Stephen Chbosky,Jacob Tremblay,132422809,4310,27547866,20.8,4310,8/1/2017,8/1/2017,Not POC,White,1
Transformers: The Last Knight,2017,5.2,137141,Action,PG-13,Michael Bay,Mark Wahlberg,130168683,3987,44680073,34.3,3987,11/1/2017,11/1/2017,Not POC,White,1
Bumblebee,2018,6.8,141860,Action,PG-13,Travis Knight,Hailee Steinfeld,127195589,4250,21654047,17,4250,10/1/2018,10/1/2018,Not POC,White,0
Mamma Mia! Here We Go Again,2018,6.6,81864,Action,PG-13,Ol Parker,Lily James,120634935,4250,34952180,29,4250,1/1/2018,1/1/2018,Not POC,White,0
Ford v Ferrari,2019,8.1,304258,Action,PG-13,James Mangold,Matt Damon,117624357,4570,31474958,26.8,4570,12/1/2019,12/1/2019,Not POC,White,1
The Nun,2018,5.3,120664,Action,R,Corin Hardy,Demián Bichir,117450119,4017,53807379,45.8,4017,11/1/2018,11/1/2018,POC,Hispanic,1
Creed II,2018,7.1,107680,Action,PG-13,Steven Caple Jr.,Michael B. Jordan,115715889,4017,35574710,30.7,4017,4/1/2018,4/1/2018,POC,Black,1
Peter Rabbit,2018,6.6,36069,Action,PG,Will Gluck,James Corden,115253424,3813,25010928,21.7,3813,12/1/2018,12/1/2018,Not POC,White,1
Girls Trip,2017,6.2,34758,Action,R,Malcolm D. Lee,Regina Hall,115171585,3987,31201920,27.1,3987,4/1/2017,4/1/2017,POC,Black,0
Dumbo,2019,6.3,67352,Action,PG,Tim Burton,Colin Farrell,114766307,3743,45990748,40.1,3743,3/1/2019,3/1/2019,Not POC,White,1
Fifty Shades Darker,2017,4.6,93071,Action,R,James Foley,Dakota Johnson,114581250,4014,46607250,40.7,4014,7/1/2017,7/1/2017,Not POC,White,0
Maleficent: Mistress of Evil,2019,6.6,87538,Action,PG,Joachim Rønning,Angelina Jolie,113929605,3741,36948713,32.4,3741,6/1/2019,6/1/2019,Not POC,White,0
Glass,2019,6.7,211879,Action,PG-13,M. Night Shyamalan,James McAvoy,111048468,4344,40328920,36.3,4344,8/1/2019,8/1/2019,Not POC,White,1
Godzilla: King of the Monsters,2019,6,146119,Action,PG-13,Michael Dougherty,Kyle Chandler,110500138,4253,47776293,43.2,4253,11/1/2019,11/1/2019,Not POC,White,1
The Upside,2017,7,47042,Action,PG-13,Neil Burger,Kevin Hart,108252517,3850,20355000,18.8,3850,5/1/2019,5/1/2019,POC,Black,1
Little Women,2019,7.8,149947,Action,PG,Greta Gerwig,Saoirse Ronan,108101214,3850,16755310,15.5,3850,9/1/2019,9/1/2019,Not POC,White,0
Little Women,2018,5.2,1115,Drama,PG-13,Clare Niederpruem,Sarah Davenport,108101214,3850,16755310,15.5,3850,9/1/2019,9/1/2019,Not POC,White,0
Baby Driver,2017,7.6,447048,Action,R,Edgar Wright,Ansel Elgort,107825862,3720,20553320,19.1,3720,11/1/2017,11/1/2017,Not POC,White,1
The Lego Movie 2: The Second Part,2019,6.6,56237,Action,PG,Mike Mitchell,Chris Pratt,105806508,3461,34115335,32.2,3461,11/1/2019,11/1/2019,Not POC,White,1
Hustlers,2019,6.3,85845,Action,R,Lorene Scafaria,Jennifer Lopez,104963598,3461,33181361,31.6,3461,,,POC,Hispanic,0
Pitch Perfect 3,2017,5.8,56945,Action,PG-13,Trish Sie,Anna Kendrick,104897530,3143,19928525,19,3143,2/1/2017,2/1/2017,Not POC,White,0
Daddy's Home 2,2017,6,63639,Action,PG-13,Sean Anders,Will Ferrell,104029443,2781,29651193,28.5,2781,2/1/2017,2/1/2017,Not POC,White,1
The Mule,2018,7,116279,Action,R,Clint Eastwood,Clint Eastwood,103804407,3813,17509431,16.9,3813,4/1/2018,4/1/2018,Not POC,White,1
Murder on the Orient Express,2017,6.5,216551,Action,PG-13,Kenneth Branagh,Kenneth Branagh,102826543,4088,28681472,27.9,4088,2/1/2017,2/1/2017,Not POC,White,1
Annabelle: Creation,2017,6.5,114171,Action,R,David F. Sandberg,Anthony LaPaglia,102092201,4088,35006404,34.3,4088,6/1/2017,6/1/2017,Not POC,White,1
The Equalizer 2,2018,6.7,136402,Action,R,Antoine Fuqua,Denzel Washington,102084362,3808,36011640,35.3,3808,4/1/2018,4/1/2018,POC,Black,1
Rampage,2018,6.1,146556,Action,PG-13,Brad Peyton,Dwayne Johnson,101028233,3508,35753093,35.4,3508,8/1/2018,8/1/2018,POC,Black,1
A Wrinkle in Time,2018,4.2,41660,Action,PG,Ava DuVernay,Storm Reid,100478608,3865,33123609,33,3865,8/1/2018,8/1/2018,POC,Black,0
Fifty Shades Freed,2018,4.5,57018,Action,R,James Foley,Dakota Johnson,100407760,3384,38560195,38.4,3384,1/1/2018,1/1/2018,Not POC,White,0
Kingsman: The Golden Circle,2017,6.7,277414,Action,R,Matthew Vaughn,Taron Egerton,100229647,3829,39023010,38.9,3829,3/1/2017,3/1/2017,Not POC,White,1
The Addams Family,2019,5.8,29525,Action,PG,Greg Tiernan,Conrad Vernon,100044905,4286,30300007,30.3,4286,2/1/2019,2/1/2019,Not POC,White,1
Christopher Robin,2018,7.3,69916,Action,PG,Marc Forster,Ewan McGregor,99215042,4090,24585139,24.8,4090,12/1/2018,12/1/2018,Not POC,White,1
Downton Abbey,2019,7.4,41049,Action,PG,Michael Engler,Stephen Campbell Moore,96854135,4259,31033665,32,4259,6/1/2019,6/1/2019,Not POC,White,1
Rocketman,2019,7.3,142967,Action,R,Dexter Fletcher,Taron Egerton,96368160,3987,25725722,26.7,3987,12/1/2019,12/1/2019,Not POC,White,1
Blade Runner 2049,2017,8,471557,Action,R,Denis Villeneuve,Harrison Ford,92054159,3773,32753122,35.6,3773,11/1/2017,11/1/2017,Not POC,White,1
John Wick: Chapter 2,2017,7.5,372644,Action,R,Chad Stahelski,Keanu Reeves,92029184,3342,30436123,33.1,3342,12/1/2017,12/1/2017,Not POC,White,1
The Emoji Movie,2017,3.3,56882,Action,PG,Tony Leondis,T.J. Miller,86089513,3006,24531923,28.5,3006,7/1/2017,7/1/2017,Not POC,White,1
Alita: Battle Angel,2019,7.3,233020,Action,PG-13,Robert Rodriguez,Rosa Salazar,85838210,11,28525613,33.2,11,14/2/2019,,POC,Hispanic,0
Power Rangers,2017,5.9,102513,Action,PG-13,Dean Israelite,Dacre Montgomery,85364450,4276,40300288,47.2,4276,5/1/2017,5/1/2017,Not POC,White,1
Green Book,2018,8.2,393477,Action,PG-13,Peter Farrelly,Viggo Mortensen,85080171,4090,320429,0.4,4090,4/1/2018,4/1/2018,Not POC,White,1
Ferdinand,2017,6.7,49713,Action,PG,Carlos Saldanha,John Cena,84410380,4276,13401586,15.9,4276,9/1/2017,9/1/2017,Not POC,White,1
Birds of Prey,2020,6.1,177422,Action,R,Cathy Yan,Margot Robbie,84158461,4198,33010017,39.2,4198,2/1/2020,2/1/2020,Not POC,White,0
I Can Only Imagine,2018,7.4,14554,Action,PG,Andrew Erwin,Jon Erwin,83482352,4267,17108914,20.5,4267,7/1/2018,7/1/2018,Not POC,White,1
Smallfoot,2018,6.6,34791,Action,PG,Karey Kirkpatrick,Jason Reisig,83240103,4267,23045635,27.7,4267,11/1/2018,11/1/2018,Not POC,White,1
Good Boys,2019,6.7,61901,Action,R,Gene Stupnitsky,Jacob Tremblay,83140306,4564,21402605,25.7,4564,6/1/2019,6/1/2019,Not POC,White,1
The Post,2017,7.2,138432,Action,PG-13,Steven Spielberg,Meryl Streep,81903458,3846,526011,0.6,3846,3/1/2017,3/1/2017,Not POC,White,0
The Mummy,2017,5.4,174804,Action,PG-13,Alex Kurtzman,Tom Cruise,80227895,3846,31688375,39.5,3846,6/1/2017,6/1/2017,Not POC,White,1
Men in Black: International,2019,5.6,111939,Action,PG-13,F. Gary Gray,Chris Hemsworth,80001807,4561,30035838,37.5,4561,9/1/2019,9/1/2019,Not POC,White,1
Night School,2018,5.6,36672,Action,PG-13,Malcolm D. Lee,Kevin Hart,77339130,4163,27257615,35.2,4163,11/1/2018,11/1/2018,POC,Black,1
Dolittle,2020,5.6,50370,Action,PG,Stephen Gaghan,Robert Downey Jr.,77047065,4167,21844045,28.4,4167,,,Not POC,White,1
The Hitman's Bodyguard,2017,6.9,189622,Action,R,Patrick Hughes,Ryan Reynolds,75468583,4256,21384504,28.3,4256,6/1/2017,6/1/2017,Not POC,White,1
Alien: Covenant,2017,6.4,256827,Action,R,Ridley Scott,Michael Fassbender,74262031,4256,36160621,48.7,4256,11/1/2017,11/1/2017,Not POC,White,1
Annabelle Comes Home,2019,5.9,59564,Action,R,Gary Dauberman,Vera Farmiga,74152591,4248,20269723,27.3,4248,5/1/2019,5/1/2019,Not POC,White,0
Captain Underpants: The First Epic Movie,2017,6.2,25251,Action,PG,David Soren,Kevin Hart,73921000,4100,23851539,32.3,4100,7/1/2017,7/1/2017,POC,Black,1
Yesterday,2019,6.8,118668,Action,PG-13,Danny Boyle,Himesh Patel,73286650,4202,17010050,23.2,4202,8/1/2019,8/1/2019,POC,White,1
Zombieland: Double Tap,2019,6.7,143884,Comedy,R,Ruben Fleischer,Woody Harrelson,73123082,3659,26803104,36.7,3659,2/1/2019,2/1/2019,Not POC,White,1
A Bad Moms Christmas,2017,5.6,45576,Action,R,Jon Lucas,Scott Moore,72110659,4022,16759161,23.2,4022,11/1/2017,11/1/2017,Not POC,White,1
The Invisible Man,2020,7.1,175083,Action,R,Leigh Whannell,Elisabeth Moss,70410000,4236,28205665,40.1,4236,2/1/2020,2/1/2020,Not POC,White,0
The First Purge,2018,5.2,55964,Action,R,Gerard McMurray,Y'lan Noel,69488745,4163,17374280,25,4163,2/1/2018,2/1/2018,POC,Black,1
Game Night,2018,6.9,210386,Action,R,John Francis Daley,Jonathan Goldstein,69179066,3990,17005332,24.6,3990,10/1/2018,10/1/2018,Not POC,White,1
Angel Has Fallen,2019,6.4,81136,Action,R,Ric Roman Waugh,Gerard Butler,69030436,4306,21380987,31,4306,4/1/2019,4/1/2019,Not POC,White,1
Scary Stories to Tell in the Dark,2019,6.2,62771,Action,PG-13,André Øvredal,Zoe Margaret Colletti,68947075,4217,20915346,30.3,4217,7/1/2019,7/1/2019,Not POC,White,0
Book Club,2018,6.1,25755,Action,PG-13,Bill Holderman,Diane Keaton,68566296,3928,13582231,19.8,3928,1/1/2018,1/1/2018,Not POC,White,0
The House with a Clock in Its Walls,2018,6.1,46532,Action,PG,Eli Roth,Jack Black,68549695,4118,26608020,38.8,4118,8/1/2018,8/1/2018,Not POC,White,1
Skyscraper,2018,5.8,108892,Action,PG-13,Rawson Marshall Thurber,Dwayne Johnson,68420120,4118,24905015,36.4,4118,11/1/2018,11/1/2018,POC,Black,1
Insidious: The Last Key,2018,5.7,53365,Action,PG-13,Adam Robitel,Lin Shaye,67745330,4145,29581355,43.7,4145,6/1/2018,6/1/2018,Not POC,White,0
Instant Family,2018,7.3,91935,Action,PG-13,Sean Anders,Mark Wahlberg,67363237,4145,14504315,21.5,4145,9/1/2018,9/1/2018,Not POC,White,1
X-Men: Dark Phoenix,2019,5.7,160055,Action,PG-13,Simon Kinberg,James McAvoy,65845974,3528,32828348,49.9,3528,,,Not POC,White,1
A Dog's Purpose,2017,7.2,66339,Action,PG,Lasse Hallström,Josh Gad,64508620,3373,18222810,28.2,3373,1/1/2017,1/1/2017,Not POC,White,1
The Shape of Water,2017,7.3,377392,Action,R,Guillermo del Toro,Sally Hawkins,63859435,3038,166564,0.3,3038,5/1/2017,5/1/2017,Not POC,White,0
The Call of the Wild,2020,6.8,40231,Action,PG,Chris Sanders,Harrison Ford,62342368,4236,24791624,39.8,4236,,,Not POC,White,1
Terminator: Dark Fate,2019,6.2,153476,Action,R,Tim Miller,Linda Hamilton,62253077,4259,29033832,46.6,4259,3/1/2019,3/1/2019,Not POC,White,0
A Beautiful Day in the Neighborhood,2019,7.3,64068,Action,PG,Marielle Heller,Tom Hanks,61704055,4259,13251238,21.5,4259,8/1/2019,8/1/2019,Not POC,White,1
Onward,2020,7.4,108158,Action,PG,Dan Scanlon,Tom Holland,61555145,4155,39119861,63.6,4155,1/1/2020,1/1/2020,Not POC,White,1
Abominable,2019,7,30295,Action,PG,Jill Culton,Chloe Bennet,60716390,3820,20612100,33.9,3820,10/1/2019,10/1/2019,POC,Asian,0
Dora and the Lost City of Gold,2019,6.1,24984,Action,PG,James Bobin,Isabela Merced,60477943,3790,17431588,28.8,3790,2/1/2019,2/1/2019,POC,Hispanic,0
Blockers,2018,6.2,72342,Action,R,Kay Cannon,Leslie Mann,60311495,4234,20556350,34.1,4234,3/1/2018,3/1/2018,Not POC,White,0
Pacific Rim: Uprising,2018,5.6,107572,Action,PG-13,Steven S. DeKnight,John Boyega,59874525,4234,28116535,47,4234,7/1/2018,7/1/2018,Not POC,White,1
The Lego Ninjago Movie,2017,6,22834,Action,PG,Charlie Bean,Paul Fisher,59281555,3519,20433071,34.5,3519,11/1/2017,11/1/2017,Not POC,White,1
Tomb Raider,2018,6.3,192907,Action,PG-13,Roar Uthaug,Alicia Vikander,58250803,3597,23633317,40.6,3597,12/1/2018,12/1/2018,Not POC,White,0
Baywatch,2017,5.5,164409,Action,R,Seth Gordon,Dwayne Johnson,58060186,3096,18503871,31.9,3096,3/1/2017,3/1/2017,POC,Black,1
Maze Runner: The Death Cure,2018,6.3,116044,Action,PG-13,Wes Ball,Dylan O'Brien,58032443,3550,24167011,41.6,3550,3/1/2018,3/1/2018,Not POC,White,1
The Shack,2017,6.3,30989,Action,PG-13,Stuart Hazeldine,Sam Worthington,57386418,4132,16172119,28.2,4132,6/1/2017,6/1/2017,Not POC,White,1
Escape Room,2019,6.4,90455,Action,PG-13,Adam Robitel,Taylor Russell,57005601,3844,18238172,32,3844,1/1/2019,1/1/2019,POC,Black,0
Darkest Hour,2017,7.4,174896,Action,PG-13,Joe Wright,Gary Oldman,56468410,4069,175006,0.3,4069,8/1/2017,8/1/2017,Not POC,White,1
Happy Death Day,2017,6.6,119022,Comedy,PG-13,Christopher Landon,Jessica Rothe,55683845,2648,26039025,46.8,2648,7/1/2017,7/1/2017,Not POC,White,0
The Nutcracker and the Four Realms,2018,5.6,29855,Adventure,PG,Lasse Hallström,Joe Johnston,54858851,3514,20352491,37.1,3514,7/1/2018,7/1/2018,Not POC,White,1
Tag,2018,6.5,117587,Adventure,R,Jeff Tomsic,Jeremy Renner,54730625,3317,14947396,27.3,3317,10/1/2018,10/1/2018,Not POC,White,1
Pet Sematary,2019,5.7,83452,Action,R,Kevin Kölsch,Dennis Widmyer,54724696,4108,24502775,44.8,4108,8/1/2019,8/1/2019,Not POC,White,1
What Men Want,2019,5.3,24485,Action,R,Adam Shankman,Taraji P. Henson,54611903,3568,18232087,33.4,3568,1/1/2019,1/1/2019,POC,Black,0
"Three Billboards Outside Ebbing, Missouri",2017,8.1,442480,Comedy,R,Martin McDonagh,Frances McDormand,54513740,2591,322168,0.6,2591,10/1/2017,10/1/2017,Not POC,White,0
A Simple Favor,2018,6.8,131701,Adventure,R,Paul Feig,Anna Kendrick,53548586,3876,16011689,29.9,3876,9/1/2018,9/1/2018,Not POC,White,0
Parasite,2019,8.6,584536,Action,R,Bong Joon Ho,Kang-ho Song,53369749,3080,393216,0.7,3080,5/1/2019,5/1/2019,Not POC,White,1
Life of the Party,2018,5.6,34235,Adventure,PG-13,Ben Falcone,Melissa McCarthy,53059911,3876,17886075,33.7,3876,11/1/2018,11/1/2018,Not POC,White,0
Atomic Blonde,2017,6.7,177980,Comedy,R,David Leitch,Charlize Theron,51687870,3714,18286420,35.4,3714,2/1/2017,2/1/2017,Not POC,White,0
American Made,2017,7.2,160692,Comedy,R,Doug Liman,Tom Cruise,51342000,3710,16776390,32.7,3710,4/1/2017,4/1/2017,Not POC,White,1
The Predator,2018,5.3,117551,Adventure,R,Shane Black,Boyd Holbrook,51024708,3752,24632284,48.3,3752,11/1/2018,11/1/2018,Not POC,White,1
The Dark Tower,2017,5.6,129493,Comedy,PG-13,Nikolaj Arcel,Idris Elba,50701325,3226,19153698,37.8,3226,6/1/2017,6/1/2017,POC,Black,1
Overboard,2018,6,34898,Adventure,PG-13,Rob Greenberg,Eugenio Derbez,50316123,3441,14711101,29.2,3441,3/1/2018,3/1/2018,POC,Hispanic,1
Ad Astra,2019,6.5,202918,Comedy,PG-13,James Gray,Brad Pitt,50188370,3308,19001398,37.9,3308,12/1/2019,12/1/2019,Not POC,White,1
