Position,Const,Created,Modified,Description,Name,Known For,Birth Date
96,nm4058898,2016-03-02,2016-03-02,,Diane Guerrero,Orange Is the New Black,1986-07-21
97,nm1478791,2016-03-02,2016-03-02,,Jessica Pimentel,Orange Is the New Black,
98,nm4745601,2016-03-02,2016-03-02,,Dascha Polanco,Orange Is the New Black,1982-12-03
99,nm3715867,2016-03-02,2016-03-02,,Stephanie Beatriz,Brooklyn Nine-Nine,
100,nm3172776,2016-03-02,2016-03-02,,Kevin Balmore,Short Term 12,
101,nm1986960,2016-03-02,2016-03-02,,Emily Rios,The Bridge,1989-04-27
102,nm3841486,2016-03-02,2016-03-02,,Adan Canto,Designated Survivor,1981-12-05
103,nm0508139,2016-03-02,2016-03-02,,Selenis Leyva,Spider-Man: Homecoming,1972-05-26
104,nm3594330,2016-03-02,2016-03-02,,Arturo Castro,Broad City,
105,nm1869101,2016-03-02,2016-03-02,,Ana de Armas,Blade Runner 2049,1988-04-30
106,nm1227814,2016-03-03,2016-03-03,,Vanessa Hudgens,High School Musical 3: Senior Year,1988-12-14
107,nm3960069,2016-03-03,2016-03-03,,Bruno Mars,Rio 2,1985-10-08
108,nm2254074,2016-03-03,2016-03-03,,Bella Thorne,The Duff,1997-10-08
109,nm2866876,2016-03-03,2016-03-03,,Joe Minoso,Chicago Fire,
110,nm4761496,2016-03-03,2016-03-03,,Prince Royce,Fast & Furious 7,1989-05-11
111,nm0721332,2016-03-03,2016-03-03,,Judy Reyes,Scrubs,1967-11-05
112,nm3812858,2016-03-03,2016-03-03,,Ariana Grande,Sam & Cat,1993-06-26
113,nm0992694,2016-03-03,2016-03-03,,Danny Pino,Cold Case,1974-04-15
114,nm4448022,2016-03-03,2016-03-03,,Lorenza Izzo,Knock Knock,1989-09-19
115,nm3182920,2016-03-03,2016-03-03,,Danielle Vega,East Los High,1986-02-04
116,nm1992474,2016-03-03,2016-03-03,,Alicia Sixtos,The Avengers,1988-05-27
117,nm1794258,2016-03-03,2016-03-03,,René Alvarado,East Los High,1979-01-26
118,nm1194672,2016-03-03,2016-03-03,,Julie Gonzalo,A Cinderella Story,1981-09-09
119,nm4565874,2016-03-03,2016-03-03,,Noemi Gonzalez,Selena: The Series,
120,nm4985969,2016-03-03,2016-03-03,,Ray Diaz,South32,
121,nm1386645,2016-03-03,2016-03-03,,Oscar Nuñez,The Proposal,1958-11-18
122,nm2204178,2016-03-03,2016-03-03,,Tenoch Huerta,Sin nombre,
123,nm0704696,2016-03-03,2016-03-03,,Juan Pablo Raba,Peppermint,1977-01-14
124,nm0025745,2016-03-03,2016-03-03,,Elena Anaya,La piel que habito,1975-07-17
125,nm0889846,2016-03-03,2016-03-03,,Jacob Vargas,Mr. Iglesias,1971-08-18
126,nm0135585,2016-03-03,2016-03-03,,Freddy Rodríguez,Planet Terror,1975-01-17
127,nm1257208,2016-03-03,2016-03-03,,Paulina García,Gloria,1960-11-27
128,nm0323483,2016-03-03,2016-03-03,,Luis Gnecco,Neruda,1962-12-12
129,nm0998846,2016-03-03,2016-03-03,,Alfredo Castro,Tony Manero,1955-12-19
130,nm0017343,2016-03-03,2016-03-03,,Damián Alcázar,La ley de Herodes,1953-01-08
131,nm0201857,2016-03-03,2016-03-03,,Ricardo Darín,El secreto de sus ojos,1957-01-16
132,nm1883803,2016-03-03,2016-03-03,,Jesse Garcia,The Avengers,
133,nm0001618,2016-03-03,2016-03-03,,Joaquin Phoenix,Walk the Line,1974-10-28
134,nm0520064,2016-03-03,2016-03-03,,George Lopez,George Lopez,1961-04-23
135,nm0553648,2016-03-03,2016-03-03,,Olivier Martinez,Unfaithful,1966-01-12
136,nm5455787,2016-03-03,2016-03-03,,Vico Escorcia,Los crímenes de Mar del Norte,1996-06-14
137,nm1824751,2016-03-03,2016-03-03,,Michael Trevino,The Vampire Diaries,1985-01-25
138,nm0306201,2016-03-03,2016-03-03,,Jorge Garcia,Lost,1973-04-28
139,nm0009716,2016-03-03,2016-03-03,,Kirk Acevedo,Dawn of the Planet of the Apes,1971-11-27
140,nm0005246,2016-03-03,2016-03-03,,Esai Morales,La Bamba,1962-10-01
141,nm0711559,2016-03-03,2016-03-03,,Victor Rasuk,Lords of Dogtown,1984-01-15
142,nm1391090,2016-03-03,2016-03-03,,Walter Perez,Fame,1982-07-12
143,nm3086285,2016-03-03,2016-03-03,,Natalia Cordova-Buckley,Bates Motel,1982-11-25
144,nm1004774,2016-03-03,2016-03-03,,Amaury Nolasco,Prison Break,1970-12-24
145,nm0728936,2016-03-03,2016-03-03,,Diana Maria Riva,Dead to Me,1969-07-22
146,nm2373831,2016-03-03,2016-03-03,,Anthony Mendez,Jane the Virgin,
147,nm4911194,2016-03-03,2016-03-03,,Jenna Ortega,The Babysitter: Killer Queen,2002-09-27
148,nm2199657,2016-03-03,2016-03-03,,Yara Martinez,The Tick,
149,nm0001952,2016-03-03,2016-03-03,,Rubén Blades,Once Upon a Time in Mexico,1948-07-16
150,nm1319062,2016-03-03,2016-03-03,,Lorenzo James Henrie,Fear the Walking Dead,1993-06-29
151,nm0721209,2016-03-03,2016-03-03,,Patricia Reyes Spíndola,Frida,1953-07-11
152,nm0231458,2016-03-03,2016-03-03,,Colman Domingo,Lincoln,1969-11-28
153,nm4456672,2016-03-03,2016-03-03,,Nico Santos,Crazy Rich Asians,
154,nm0532461,2016-03-03,2016-03-03,,Justina Machado,Torque,1972-09-06
155,nm1227481,2016-03-03,2016-03-03,,Veronica Falcón,Perry Mason,1966-08-08
156,nm0850162,2016-03-03,2016-03-03,,Gerardo Taracena,Apocalypto,
157,nm0173997,2016-03-03,2016-03-03,,Maurice Compte,Narcos,
158,nm2103508,2016-03-03,2016-03-03,,Paulina Gaitan,Sin nombre,1992-02-19
159,nm0617622,2016-03-03,2016-03-03,,Raúl Méndez,Cocaine Godmother,1975-04-11
160,nm1426855,2016-03-03,2016-03-03,,Roberto Urbina,Che: Part One,1983-09-02
161,nm0136572,2016-03-03,2016-03-03,,Manolo Cardona,Beverly Hills Chihuahua,1977-04-25
162,nm2975962,2016-03-03,2016-03-03,,Alberto Ammann,Celda 211,1978-10-20
163,nm2017931,2016-03-03,2016-03-03,,Juan Riedinger,Narcos,1981-02-27
164,nm0798407,2016-03-03,2016-03-03,,Leslie Silva,Divine Secrets of the Ya-Ya Sisterhood,1968-04-21
165,nm2949014,2016-03-03,2016-03-03,,Santino Fontana,Frozen,1982-03-21
166,nm0418544,2016-03-03,2016-03-03,,Antonio Jaramillo,Shades of Blue,
167,nm3003461,2016-03-03,2016-03-03,,Paloma Guzmán,Person of Interest,
168,nm0729050,2016-03-03,2016-03-03,,Erica Rivas,Relatos salvajes,1974-12-01
169,nm0325390,2016-03-03,2016-03-03,,Annie Golden,Hair,1951-10-19
170,nm3117320,2016-03-03,2016-03-03,,Jackie Cruz,Orange Is the New Black,1984-08-08
171,nm0735300,2016-03-03,2016-03-03,,Elizabeth Rodriguez,Logan,1980-12-27
172,nm0327041,2016-03-03,2016-03-03,,Laura Gómez,Orange Is the New Black,
173,nm3587952,2016-03-03,2016-03-03,,Carla Quevedo,Show Me a Hero,1988-04-23
174,nm1175468,2016-03-03,2016-03-03,,Elyes Gabel,World War Z,1983-05-08
175,nm5519961,2016-03-03,2016-03-03,,Frankie J. Alvarez,Looking,
176,nm1950004,2016-03-03,2016-03-03,,Raúl Castillo,We the Animals,1977-08-30
177,nm0327056,2016-03-03,2016-03-03,,Michelle Gomez,Green Wing,1966-11-23
178,nm2610425,2016-03-03,2016-03-03,,Chrissie Fit,Pitch Perfect 2,1984-04-03
179,nm0001617,2016-03-03,2016-03-03,,Lou Diamond Phillips,Courage Under Fire,1962-02-17
180,nm1370408,2016-03-03,2016-03-03,,Joaquín Cosio,Quantum of Solace,
181,nm3652598,2016-03-03,2016-03-03,,Olga Segura,Verónica,
182,nm0004741,2016-03-03,2016-03-03,,Camilla Belle,Practical Magic,1986-10-02
183,nm2437267,2016-03-03,2016-03-03,,Seychelle Gabriel,The Last Airbender,1991-03-25
184,nm3014089,2016-03-03,2016-03-03,,Emeraude Toubia,Shadowhunters: The Mortal Instruments,
185,nm5456462,2016-03-03,2016-03-03,,Alberto Rosende,Shadowhunters: The Mortal Instruments,1993-02-14
186,nm5099520,2016-03-03,2016-03-03,,Victor Manso,Blueprint Trace,
187,nm3970838,2016-03-03,2016-03-03,,Vannessa Vasquez,East Los High,1983-12-21
188,nm7803367,2016-03-03,2016-03-03,,Ariadna Gutiérrez-Arévalo,xXx: Return of Xander Cage,1993-12-25
189,nm0893941,2016-03-03,2016-03-03,,Maribel Verdú,El laberinto del fauno,1970-10-02
190,nm1419440,2016-03-03,2016-03-03,,Ivana Baquero,El laberinto del fauno,1994-06-11
191,nm0004711,2016-03-03,2016-03-03,,Marc Anthony,Man on Fire,1968-09-16
192,nm1726555,2016-03-03,2016-03-03,,Claudia Traisac,Escobar: Paradise Lost,
193,nm1671609,2016-03-03,2016-03-03,,Tessa Ia,"De Brutas, Nada",
194,nm0209404,2016-03-03,2016-03-03,,Rodrigo De la Serna,Diarios de motocicleta,1976-04-18
195,nm1105038,2016-03-03,2016-03-03,,Lila Downs,Frida,1968-09-19
196,nm0840762,2016-03-03,2016-03-03,,Cecilia Suárez,La casa de las flores,1971-11-22
197,nm0005396,2016-03-03,2016-03-03,,Carlos Santana,La Bamba,1947-07-20
198,nm0001751,2016-03-03,2016-03-03,,Jimmy Smits,NYPD Blue,1955-07-09
199,nm0761052,2016-03-03,2016-03-03,,Roselyn Sanchez,Act of Valor,1973-04-02
200,nm0651067,2016-03-03,2016-03-03,,Ana Ortiz,Ugly Betty,1971-01-25
201,nm2963874,2016-03-03,2016-03-03,,Edy Ganem,Devious Maids,1983-09-20
202,nm1490458,2016-03-03,2016-03-03,,Rigo Sanchez,Station 19,
203,nm1794849,2016-03-03,2016-03-03,,Carlos Pratts,"McFarland, USA",1986-08-21
204,nm4550131,2016-03-03,2016-03-03,,Hector Duran,Space Force,
205,nm5540010,2016-03-03,2016-03-03,,Rafael Martinez,"McFarland, USA",
206,nm7107400,2016-03-03,2016-03-03,,Ramiro Rodriguez,"McFarland, USA",
207,nm6180108,2016-03-03,2016-03-03,,Sergio Avelar,"McFarland, USA",
208,nm0553737,2016-03-03,2016-03-03,,Vanessa Martinez,The Neon Demon,1979-06-19
209,nm1172285,2016-03-03,2016-03-03,,Martha Higareda,Amar te duele,1983-08-24
210,nm2636310,2016-03-03,2016-03-03,,Manuel Garcia-Rulfo,The Magnificent Seven,1981-02-25
211,nm2028116,2016-03-03,2016-03-03,,Cierra Ramirez,Girl in Progress,1995-03-09
212,nm4189046,2016-03-03,2016-03-03,,Jenny Pellicer,Cocaine Godmother,
213,nm4537360,2016-03-03,2016-03-03,,Octavio Pisano,Coyote,
214,nm0960912,2016-03-03,2016-03-03,,Lyndsy Fonseca,Kick-Ass,1987-01-07
215,nm0305083,2016-03-03,2016-03-03,,Aimee Garcia,Dexter,1978-11-28
216,nm5594209,2016-03-03,2016-03-03,,Andrew Jacobs,Paranormal Activity: The Marked Ones,1993-11-18
217,nm1792248,2016-03-03,2016-03-03,,Fernanda Romero,The Eye,
218,nm2057036,2016-03-03,2016-03-03,,Shiloh Fernandez,Evil Dead,1985-02-26
219,nm7624235,2016-03-03,2016-03-03,,Froy Gutierrez,Teen Wolf,
220,nm2349726,2016-03-03,2016-03-03,,Rico Rodriguez,Modern Family,1998-07-31
221,nm0133566,2016-03-03,2016-03-03,,Maria Canals-Barrera,Wizards of Waverly Place,1966-09-28
222,nm0891895,2016-03-03,2016-03-03,,Paz Vega,Lucía y el sexo,1976-01-02
223,nm0002064,2016-03-03,2016-03-03,,Giancarlo Esposito,Breaking Bad,1958-04-26
224,nm0326988,2016-03-03,2016-03-03,,Carlos Gómez,The Baker and the Beauty,1962-01-01
225,nm1545471,2016-03-03,2016-03-03,,Jake T. Austin,Wizards of Waverly Place,1994-12-03
226,nm2358540,2016-03-04,2016-03-04,,Natalie Martinez,Death Race,1984-07-12
227,nm0006554,2016-03-05,2016-03-05,,Rodrigo García,Nine Lives,1959-08-24
228,nm2126101,2016-03-05,2016-03-05,,William Levy,Resident Evil: The Final Chapter,1980-08-29
229,nm0895150,2016-03-05,2016-03-05,,Eduardo Verástegui,Bella,1974-05-21
230,nm1591620,2016-03-05,2016-03-05,,Juan Pablo Di Pace,Mamma Mia!,1979-07-25
231,nm1682733,2016-03-05,2016-03-05,,Álex González,X: First Class,1980-08-13
232,nm0576987,2016-03-05,2016-03-05,,Fernando Meirelles,Blindness,1955-11-09
233,nm1429471,2016-03-05,2016-03-05,,Jaume Collet-Serra,The Shallows,1974-03-23
234,nm2084263,2016-03-05,2016-03-05,,Fabrizio Guido,Mr. Iglesias,1999-05-28
235,nm0294379,2016-03-05,2016-03-05,,Juan Carlos Fresnadillo,28 Weeks Later,1967-12-05
236,nm0004286,2016-03-05,2016-03-05,,Clifton Collins Jr.,Star Trek,1970-06-16
237,nm2845865,2016-03-05,2016-03-05,,David Carranza,Gotham,
238,nm5498929,2016-03-05,2016-03-05,,Jason Humble,Emissary,
239,nm1497615,2016-03-05,2016-03-05,,Victor Cruz,The Taking of Pelham 123,1980-08-05
240,nm1283912,2016-03-05,2016-03-05,,Alfredo Narciso,Manifest,
241,nm2342283,2016-03-05,2016-03-05,,Jamil Mena,Sleeping with Other People,
242,nm0403675,2016-03-05,2016-03-05,,Elena Hurst,Grand Theft Auto IV,1983-09-04
243,nm1501093,2016-03-05,2016-03-05,,Dominic Colón,Power,
244,nm3976974,2016-03-05,2016-03-05,,R. Marcos Taylor,Straight Outta Compton,
245,nm2244220,2016-03-05,2016-03-05,,Juan-Pablo Veizaga,Magnum P.I.,1982-04-03
246,nm1645332,2016-03-05,2016-03-05,,Joseph Melendez,Ozark,
247,nm1426836,2016-03-05,2016-03-05,,Alexis Suarez,Thanks for Sharing,
248,nm1759519,2016-03-05,2016-03-05,,Dion Sapp,Daredevil,
249,nm0190441,2016-03-05,2016-03-05,,Raymond Cruz,Alien: Resurrection,1961-07-09
250,nm1595801,2016-03-05,2016-03-05,,Alyssa Diaz,Red Dawn,1985-09-07
251,nm0839326,2016-03-05,2016-03-05,,Daniel Sunjata,One for the Money,1971-12-30
252,nm0868659,2016-03-05,2016-03-05,,Gina Torres,Serenity,1969-04-25
253,nm1742739,2016-03-05,2016-03-05,,Victoria Cartagena,Servant,
254,nm1478285,2016-03-05,2016-03-05,,Zabryna Guevara,The Rebound,
255,nm2834669,2016-03-05,2016-03-05,,Monica Raymund,Chicago Fire,1986-07-26
256,nm1854211,2016-03-05,2016-03-05,,Charlie Barnett,Men in Black 3,
257,nm0005030,2016-03-05,2016-03-05,,Jon Huertas,This Is Us,1969-10-23
258,nm0883173,2016-03-05,2016-03-05,,Daya Vaidya,Bosch,1973-05-20
259,nm2073694,2016-03-05,2016-03-05,,Karen Olivo,Harry's Law,1976-08-07
260,nm1913125,2016-03-05,2016-03-05,,Ramon Rodriguez,Transformers: Revenge of the Fallen,1979-12-20
261,nm0154632,2016-03-05,2016-03-05,,Ricardo Chavira,Desperate Housewives,1971-09-01
262,nm0001853,2016-03-05,2016-03-05,,Vanessa Williams,Ugly Betty,1963-03-18
263,nm0211726,2016-03-05,2016-03-05,,Melissa De Sousa,On Becoming a God in Central Florida,1967-09-25
264,nm0395428,2016-03-05,2016-03-05,,Anna Maria Horsford,Minority Report,1948-03-06
265,nm0246585,2016-03-05,2016-03-05,,Guillermo Díaz,Half Baked,
266,nm0088298,2016-03-05,2016-03-05,,Corbin Bleu,High School Musical 3: Senior Year,1989-02-21
267,nm1177213,2016-03-05,2016-03-05,,Jai Rodriguez,The Producers,1979-06-22
268,nm0190497,2016-03-05,2016-03-05,,Wilson Cruz,Star Trek: Discovery,1973-12-27
269,nm0022306,2016-03-05,2016-03-05,,Laz Alonso,The Boys,1974-03-25
270,nm2143282,2016-03-05,2016-03-05,,Lupita Nyong'o,12 Years a Slave,1983-03-01
271,nm0587396,2016-03-05,2016-03-05,,Christina Milian,Be Cool,1981-09-26
272,nm0004817,2016-03-05,2016-03-05,,Matt Cedeño,Power,1973-11-14
273,nm0004700,2016-03-05,2016-03-05,,Tatyana Ali,The Fresh Prince of Bel-Air,1979-01-24
274,nm0000973,2016-03-05,2016-03-05,,Benjamin Bratt,Miss Congeniality,1963-12-16
275,nm0305081,2016-03-05,2016-03-05,,Adam Garcia,Coyote Ugly,1973-06-01
276,nm4393073,2016-03-05,2016-03-05,,Jaime Cepero,Smash,
277,nm0380022,2016-03-05,2016-03-05,,Juan Carlos Hernández,High Crimes,
278,nm2474064,2016-03-05,2016-03-05,,Cory Fernandez,Cop Out,
279,nm2125902,2016-03-05,2016-03-05,,E.J. Bonilla,Four,1988-09-08
280,nm0743931,2016-03-05,2016-03-05,,Yolonda Ross,The Chi,
281,nm1394837,2016-03-05,2016-03-05,,Joshua Sanchez,Four,
282,nm0038458,2016-03-05,2016-03-05,,Nelson Ascencio,Master of None,1964-08-30
283,nm0001185,2016-03-05,2016-03-05,,Hector Elizondo,Pretty Woman,1936-12-22
284,nm1238555,2016-03-05,2016-03-05,,JD Pardo,The Twilight Saga: Breaking Dawn - Part 2,1980-09-07
285,nm0129551,2016-03-05,2016-03-05,,Wilmer Calderon,Fast & Furious,1975-05-08
286,nm3679481,2016-03-05,2016-03-05,,Adam Irigoyen,Shake It Up,1997-08-05
287,nm0491768,2016-03-05,2016-03-05,,Perez Hilton,Meet the Blacks,1978-03-23
288,nm1794790,2016-03-05,2016-03-05,,Michael Cardelle,House of Usher,
289,nm0298539,2016-03-05,2016-03-05,,David Fumero,One Life to Live,1972-12-29
290,nm2100284,2016-03-05,2016-03-05,,Pitbull,Epic,1981-01-14
291,nm1395858,2016-03-05,2016-03-05,,Valerie Cruz,Cellular,1976-07-18
292,nm0951148,2016-03-05,2016-03-05,,Odette Annable,Cloverfield,1985-05-10
293,nm0000139,2016-03-05,2016-03-05,,Cameron Diaz,Vanilla Sky,1972-08-30
294,nm1229204,2016-03-05,2016-03-05,,Nadine Velazquez,Flight,1978-11-20
295,nm1580243,2016-03-05,2016-03-05,,Cote de Pablo,NCIS: Naval Criminal Investigative Service,1979-11-12
296,nm0004819,2016-03-05,2016-03-05,,Charo,Thumbelina,1951-03-13
297,nm2116006,2016-03-05,2016-03-05,,Francia Raisa,Grown-ish,1988-07-26
298,nm1015516,2016-03-05,2016-03-05,,Onahoua Rodriguez,Hawaii Five-0,1975-04-26
299,nm0001939,2016-03-05,2016-03-05,,Maurice Benard,General Hospital,1963-03-01
300,nm0024622,2016-03-05,2016-03-05,,Alejandro Amenábar,The Others,1972-03-31
301,nm0000264,2016-03-05,2016-03-05,,Pedro Almodóvar,Hable con ella,1949-09-25
302,nm0190859,2016-03-05,2016-03-05,,Alfonso Cuarón,Gravity,1961-11-28
303,nm0868219,2016-03-05,2016-03-05,,Guillermo del Toro,El laberinto del fauno,1964-10-09
