Position,Const,Created,Modified,Description,Name,Known For,Birth Date
64,nm1801838,2013-10-09,2013-10-09,,Jessalyn Wanlim,Orphan Black,
65,nm1523899,2013-11-08,2013-11-08,,Sara Malakul Lane,King Arthur and the Knights of the Round Table,1983-02-01
66,nm0413238,2013-11-09,2013-11-09,,Natalie Mendoza,The Descent,1978-08-12
67,nm0029391,2013-11-09,2013-11-09,,Michelle Ang,Fear the Walking Dead,1983-10-17
68,nm5250114,2013-11-09,2013-11-09,,Julisita Salcedo,Being Mary Jane,
69,nm1581662,2013-11-09,2013-11-09,,Steph Song,War,1984-04-19
70,nm1513736,2013-11-09,2013-11-09,,Sonia Couling,A Stranger in Paradise,1974-06-18
71,nm2430932,2013-11-09,2013-11-09,,Krystal Vee,Street Fighter: The Legend of Chun-Li,1987-11-28
72,nm1751523,2013-11-09,2013-11-09,,Ase Wang,The Prince & Me: The Elephant Adventure,1981-11-26
73,nm3420564,2013-11-09,2013-11-09,,Amanda Westlake,Lethal Weapon,1990-04-20
74,nm2565039,2014-06-10,2014-06-10,,Jessika Van,Battlefield 4,1985-05-28
75,nm5921534,2014-12-11,2014-12-11,,Candice Zhao,Transformers: Age of Extinction,
76,nm2647004,2015-04-28,2015-04-28,,Vienna Hehir,Darc,
77,nm7093076,2018-08-22,2018-08-22,,Lana Condor,To All the Boys I've Loved Before,1997-05-11
78,nm1063162,2018-08-22,2018-08-22,,Fiona Xie,Crazy Rich Asians,1982-01-24
79,nm4420495,2018-08-22,2018-08-22,,Sonoya Mizuno,Ex Machina,1986-07-01
